iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1045,10.03999165265988,16.388235444288988,-0.028595239787920525,25.501353151999993,24.633028,-10.498107,65.143046
2,80000,1072,9.913808130606627,18.604894933945094,-0.031233050604807945,34.57208616799999,31.589485,-2.569477,88.425182
3,120000,1042,9.776490470690606,22.282936143875123,-0.02787296688594581,45.690851847999994,42.037741,5.924468,141.98157
4,160000,1031,9.65877939615494,27.184066268725275,-0.029514577229266974,58.458336984000006,55.839041,6.017855,178.726644
5,200000,1005,9.538171619024032,27.707501218257807,-0.026151070715595547,73.272087616,69.526462,2.500824,187.130855
6,240000,966,9.419242254892985,28.127313997806645,-0.024001275675441438,95.086454648,90.166182,26.827707,273.292441
7,280000,950,9.305511931883983,29.99828403668526,-0.025744276641079266,112.730216928,105.923871,37.32098,319.295107
8,320000,914,9.192801590454884,31.438300944597295,-0.025207279036317816,131.98787869599997,127.736076,31.866314,240.733209
9,360000,917,9.082924784146822,31.75397144708878,-0.02046224984104554,137.43278016,127.837663,50.837614,298.66454
10,400000,922,8.98187441214537,33.238857393998366,-0.02293552293095929,158.163250752,155.811049,61.627752,284.059285
11,440000,922,8.871138345278226,35.46766222684811,-0.020014947303048432,173.83046328799998,166.725789,74.728614,383.513158
12,480000,914,8.760526412572617,31.969028497353577,-0.017205208306614414,193.534556336,196.626692,68.983783,380.378986
13,520000,921,8.658086317013472,30.490205552027774,-0.017121889701453397,205.20158584,208.586583,87.940465,542.529851
14,560000,937,8.562664594405737,31.523134241348657,-0.016814857467453783,226.249941752,231.934662,73.790642,441.536488
15,600000,951,8.4671676611289,33.12186544369428,-0.014611937154353865,236.53815544000003,237.641771,82.109502,487.203593
16,640000,950,8.365484780531663,35.450074063814604,-0.01884314580835426,257.88638657600006,247.523486,101.843738,524.562663
17,680000,956,8.275067035968487,34.97197078313583,-0.01268139709942401,271.02229884,264.044445,110.15098,582.35767
18,720000,967,8.186374314626057,38.3056247368837,-0.01358614030278449,297.358725312,279.092782,98.370821,833.504973
19,760000,972,8.09605287038363,37.97543422503349,-0.013012122624175577,310.5691027040001,283.584426,96.496769,1130.818926
20,800000,972,8.008570454670833,31.28010419698862,-0.012673946212453302,341.02321878400005,290.738075,124.476488,1063.327957
21,840000,976,7.939347731761443,33.47550119497837,-0.011999926137573662,400.342697624,293.701443,107.598024,1748.472423
22,880000,984,7.863217172867213,38.64160518157176,-0.013238183127713198,478.30825583200004,312.174154,109.788989,1730.454594
23,920000,987,7.785927647810716,29.718254387684357,-0.01143487347122013,436.7879610560001,324.231715,104.06131,1762.482846
24,960000,986,7.7107939292223024,24.458047206585224,-0.009977795899183734,636.9069930640001,368.858734,176.549895,1782.279238
25,1000000,988,7.632773068012336,20.477707997346535,-0.01115334114083686,865.6493568159999,583.80073,175.148853,1847.693519
26,1040000,995,7.5615990064083,20.350030615390875,-0.007272359652653484,1039.3418744399999,1103.031277,116.488567,1864.69623
27,1080000,999,7.478940155567267,13.577973478268355,-0.005788473993762193,1206.564077296,1712.552512,116.488567,1914.038575
28,1120000,989,7.3863973959898335,11.363511200440236,-0.009554224724967916,1367.37353828,1781.628061,189.478246,1914.038575
29,1160000,988,7.317360820525732,11.712713752648769,-0.004899909235096763,1552.444457584,1820.602606,152.996855,1932.559078
30,1200000,989,7.234642504423093,11.03541028927534,-0.008881014694000045,1574.6148514640001,1839.919216,152.996855,1932.559078
31,1240000,989,7.149347378657414,8.757853960379576,-0.007571406263723008,1588.8279505600003,1852.143873,197.386897,1932.559078
32,1280000,988,7.0783493103125155,9.285458019452218,-0.004920336553223956,1649.564832912,1875.635651,197.386897,1942.169256
33,1320000,988,7.011228896410037,8.699247991121732,-0.008081390382945896,1702.5921365200002,1887.332508,197.386897,1946.580983
34,1360000,993,6.957950511345497,9.52930188423548,-0.00490339295449816,1732.1231575440002,1894.589691,208.218925,1974.377574
35,1400000,991,6.8844777351770645,10.103632928774907,-0.007162169642292727,1760.2126256719998,1913.147947,183.279966,1998.493529
36,1440000,988,6.813260051531669,11.20411345408513,-0.013035975021492237,1799.8881241600002,1919.785467,183.279966,1998.493529
37,1480000,978,6.74120559203319,11.360831511326325,-0.011688748567123698,1820.8423421120003,1931.827507,183.279966,2012.014943
38,1520000,980,6.650552615141257,8.277158426627135,-0.009723810801649682,1855.2200452,1939.202214,193.862345,2012.014943
39,1560000,979,6.582872676849365,8.689630897228534,-0.004644204116014477,1876.3529747199998,1945.257401,193.900592,2012.014943
40,1600000,979,6.508319349778004,9.366945834037585,-0.010481829145273644,1845.45798668,1949.31776,227.34763,2011.549388
41,1640000,981,6.422860921957554,9.055137773966178,-0.014648296991044144,1837.787932768,1954.971368,227.34763,2011.549388
42,1680000,985,6.361238540747227,16.12889037560194,-0.00782355908899589,1819.2881882720003,1964.060095,227.34763,2013.309885
43,1720000,981,6.2715984784639796,9.814529391435476,-0.009360967207332859,1888.1943183679998,1966.38132,246.765887,2019.632023
44,1760000,980,6.177792220237928,8.893213154719426,-0.009939862621234707,1875.0108495279997,1975.016644,246.765887,2035.015537
45,1800000,980,6.085655987568391,7.081205473190699,-0.006155916481619874,1898.8321958880003,1975.885942,231.613484,2035.015537
46,1840000,984,5.993920136720706,7.338551829411434,-0.008017526136152297,1883.1335885760002,1981.105009,219.546077,2035.015537
47,1880000,985,5.902366846035688,6.164553651442895,-0.008507794197066687,1923.508199992,1989.176143,219.546077,2063.313888
48,1920000,985,5.812273383751894,6.6450748565869455,-0.007414796696871352,1950.8020055359998,2003.868193,219.546077,2063.313888
49,1960000,985,5.715416371516692,6.36628545217025,-0.010406540369634362,1989.7475682400002,2019.121163,184.371098,2064.131748
50,2000000,985,5.622476371129354,7.135951519623781,-0.014051813320335126,1983.3822314,2032.017354,184.371098,2088.446268
51,2040000,988,5.5387837935716675,6.752789251009623,-0.011331368260251997,1974.8144742480001,2039.733291,184.371098,2092.635557
52,2080000,989,5.473796090101584,5.468352912328182,-0.01320161071403746,1993.64105792,2044.555166,219.132541,2092.635557
53,2120000,989,5.4000976758125505,5.880436540261293,-0.011684022180242419,1986.027739816,2043.645653,219.132541,2092.635557
54,2160000,988,5.341400029109074,8.026046465604733,-0.010837939494302144,1988.3794388239999,2043.214834,275.026635,2094.497379
55,2200000,989,5.2795155476301145,7.337964422886188,-0.012575807148319795,1960.1367394159997,2042.350157,230.187603,2103.723876
56,2240000,991,5.22373340680049,6.270581639118683,-0.010549397292645432,1948.9028763520002,2043.451281,230.187603,2125.038656
57,2280000,990,5.160546819980328,8.815541981428098,-0.011869711779866357,1947.9079402800003,2043.333965,222.824127,2125.178612
58,2320000,990,5.102869654924442,7.539497886559902,-0.011411033942722963,1976.020674376,2041.396464,222.824127,2125.178612
59,2360000,990,5.055929423601199,8.835276141533484,-0.017135002721587602,1975.083341472,2041.078092,187.62039,2125.178612
60,2400000,992,5.004382332777365,9.133774765943869,-0.011632180361201068,1992.823335608,2043.242083,187.62039,2105.4844
61,2440000,996,4.966186370605078,9.129330937067667,-0.01014508865974233,1999.090273168,2050.974369,187.62039,2105.4844
62,2480000,997,4.932927993627695,8.560711683371128,-0.010756763010785783,1998.0435562720006,2054.952341,209.942482,2110.778982
63,2520000,998,4.901710230264908,9.42111068872305,-0.01008735978728696,1874.0041164079998,2054.00251,209.942482,2110.778982
64,2560000,999,4.8589086251381115,8.740346463215657,-0.00926068004480793,1846.7273332,2050.932034,209.942482,2110.778982
65,2600000,1001,4.808867717400576,7.6294457814632315,-0.009818731426201292,1842.9664418879997,2049.760718,182.668739,2103.732239
66,2640000,1004,4.766021977938139,8.35658647463872,-0.01123256467830148,1872.9691644000002,2049.269103,182.668739,2105.585484
67,2680000,1005,4.720036454078478,12.683844510714213,-0.011717941202891196,1778.6879692559996,2044.260588,182.668739,2105.585484
68,2720000,1006,4.67055393854777,10.403162201856956,-0.009861458032374242,1708.0651966799999,2040.980217,210.091815,2122.680097
69,2760000,1006,4.61576734322768,9.74372393870965,-0.014341777910354162,1745.2370990960003,2040.040551,210.091815,2122.680097
70,2800000,1009,4.571932021165505,11.491524256498385,-0.013847855398023221,1782.9273070240001,2040.040551,210.091815,2127.41398
71,2840000,1012,4.52758603707338,9.760679550659962,-0.01576190175778137,1820.5213386719997,2045.514156,230.217259,2133.904528
72,2880000,1012,4.475653867232494,7.884045693813226,-0.01371890412583292,1897.5565439200004,2058.724533,230.217259,2176.134459
73,2920000,1013,4.425983705276098,10.311767047490829,-0.013235514496120279,1950.5087529839998,2064.290674,238.151736,2176.134459
74,2960000,1014,4.375884875273093,9.40333159031012,-0.019016369362622916,2029.5508805119998,2077.886493,359.305989,2176.134459
75,3000000,1016,4.311813910802205,7.329942470330458,-0.014910668528617138,1997.760984368,2083.022548,321.825771,2170.057425
76,3040000,1019,4.249819190685566,8.52390420803657,-0.011747303595616243,1999.03070196,2112.935013,271.326397,2199.643837
77,3080000,1019,4.205195184854361,6.3382645710920675,-0.00875558746879389,1970.7722056959997,2125.089122,271.326397,2199.643837
78,3120000,1020,4.1633742210192555,6.342695997311519,-0.011070204091522148,2005.3125321839998,2134.550641,269.296479,2199.643837
79,3160000,1020,4.122370641659468,13.491945217205927,-0.0057184647991865255,2014.4604140399997,2144.305413,269.296479,2196.118836
80,3200000,1022,4.075494311406062,9.169258239941719,-0.010403911851027167,2019.453400632,2149.08554,269.296479,2199.399565
81,3240000,1024,4.025142031449538,5.282394260015243,-0.006696474640958536,2022.8068075200001,2150.127386,240.625087,2199.399565
82,3280000,1025,3.9779869770392393,5.540550582836836,-0.0111122927295256,2071.2838370639997,2158.676292,218.461359,2208.779116
83,3320000,1026,3.92564837260124,6.318046177961888,-0.010462633301675595,2080.0379172400003,2166.52265,160.078494,2208.883986
84,3360000,1026,3.872204174139561,5.435267847776413,-0.010775197642009843,2100.483771584,2171.057821,160.078494,2211.364742
85,3400000,1027,3.815862228931525,4.7970943833008794,-0.0007967910740355877,2091.028288096,2180.049351,160.078494,2225.594294
86,3440000,1029,3.7659878590168097,6.7294162313143415,-0.01237559017672305,2113.000234272,2182.756366,183.565733,2228.48578
87,3480000,1031,3.6983107114449525,4.604605822074108,-0.012653437095603947,2133.735904408,2183.614879,183.565733,2228.48578
88,3520000,1031,3.6472733564865893,4.826080738581144,-0.013575041805616377,2119.14139312,2180.28998,355.858563,2228.48578
89,3560000,1031,3.5965030725185687,6.014567674123324,-0.010210424374478558,2115.877733496,2176.526536,269.613073,2216.678533
90,3600000,1032,3.551211522787045,6.998876915833889,-0.007839586781837845,2083.6583624,2169.971468,269.613073,2235.910465
91,3640000,1033,3.5058461867845976,5.035540202336434,-0.00873192318561987,2116.5397109600003,2167.969724,269.613073,2242.28444
92,3680000,1035,3.4729841739703446,10.30304278226999,-0.010047179453436118,2084.639319136,2164.164387,289.353608,2242.28444
93,3720000,1036,3.4480813649984507,9.325852450346336,-0.014830111796347923,2072.998229152,2166.205338,289.353608,2242.28444
94,3760000,1036,3.414625008289631,12.037648993272049,-0.015578093093796059,2033.931275328,2162.050701,289.353608,2223.849191
95,3800000,1036,3.377894727389018,14.291141733756433,-0.013577096834211634,2052.208425664,2159.819786,334.501097,2218.748916
96,3840000,1038,3.3493948905895916,13.104081823886968,-0.015601265721022337,2049.957892736,2155.861081,315.832077,2273.000325
97,3880000,1040,3.317726810161884,10.587471373875935,-0.013210818829415634,2055.094509936,2158.624578,315.832077,2273.000325
98,3920000,1040,3.2902439777667705,12.396380991813464,-0.01431172736536563,2047.151612136,2155.711862,190.739081,2308.019654
99,3960000,1040,3.269069815904666,10.929283221562704,-0.01473471129626817,2037.9219975120002,2157.523584,142.475699,2308.019654
100,4000000,1040,3.2402254673150868,12.674860708530133,-0.017205828676098742,2005.53231144,2162.62862,142.475699,2304.20501
101,4040000,1041,3.20359953611325,13.222469287040907,-0.014648917327651409,2002.9217855360002,2162.687622,142.475699,2261.856034
102,4080000,1042,3.1634613758478407,11.8078356498327,-0.015335757799860007,2014.018851192,2162.687622,213.527227,2272.056202
103,4120000,1044,3.1153598070144652,9.366533725689619,-0.01714570370531874,2058.312605448,2163.289062,263.698739,2272.056202
104,4160000,1044,3.0740643806946584,9.857959863467094,-0.014722972569450996,2079.2242724639996,2165.718413,263.698739,2272.056202
105,4200000,1044,3.0276731038704896,9.038963585633498,-0.011825298877262797,2125.569926288,2163.690798,187.673403,2274.385799
106,4240000,1044,2.9795616602286312,9.290432242246775,-0.015575719706599463,2064.680438912,2161.641348,157.861207,2274.385799
107,4280000,1045,2.9409935627228174,10.02396667920626,-0.014612207709041496,2027.8278766080002,2159.950004,157.861207,2288.355161
108,4320000,1046,2.9089224277398524,7.628312983268347,-0.011206996015020055,2034.8935847600003,2167.480996,157.861207,2288.355161
109,4360000,1047,2.874439358099913,7.980911570328932,-0.013851047243149832,2081.690726096,2171.541512,191.052362,2288.355161
110,4400000,1048,2.8308882034741916,7.244066994312482,-0.011858692634268664,2103.3187604719997,2177.905356,191.052362,2244.466127
111,4440000,1048,2.7884576809711947,7.645246970959199,-0.012566092231673582,2122.1148451840004,2185.069572,191.052362,2260.594464
112,4480000,1047,2.7536520413863355,8.632184979243156,-0.01449676875243849,2120.73708868,2187.002234,191.052362,2304.013863
113,4520000,1046,2.718583791072552,7.239039230958009,-0.015494927579407092,2140.0647327359998,2198.788462,209.790902,2305.392602
114,4560000,1047,2.684134710140717,8.793542542824378,-0.013806640414800196,2115.3815053999997,2205.19812,162.014783,2305.392602
115,4600000,1047,2.6509369373321534,8.113586552937825,-0.015535150582115584,2105.912464032,2211.704982,162.014783,2332.763503
116,4640000,1046,2.612540627748538,5.972740774276929,-0.01503505742715415,2127.2597006799997,2219.923626,120.03784,2332.763503
117,4680000,1046,2.577219818188594,7.035517257299179,-0.014700189465540275,2165.0347179839996,2224.045564,120.03784,2332.763503
118,4720000,1044,2.5450364430745442,8.43184043566386,-0.01482375762479,2161.1216963359993,2222.594054,120.03784,2289.582462
119,4760000,1043,2.517243469067109,8.473311932270343,-0.015395524617829674,2143.4924991599996,2223.514246,212.298986,2292.415792
120,4800000,1042,2.4907399091965114,10.510450582015208,-0.015908852247030855,2073.395534312,2222.839738,190.513152,2343.153357
121,4840000,1043,2.465065844853719,8.608334763233477,-0.016223070869706976,2028.5956850880002,2229.604786,190.513152,2343.153357
122,4880000,1043,2.4412122145677224,12.28287716645461,-0.0146362312284346,2032.6140012640003,2233.532368,190.513152,2337.907042
123,4920000,1042,2.423353542425694,14.156636746724446,-0.01567111400878415,2058.071572408,2238.06255,243.765459,2337.907042
124,4960000,1041,2.405442576530652,9.23106687558003,-0.019098008114377035,2073.9090969279996,2230.951275,226.295088,2322.166772
125,5000000,1040,2.379813410074283,11.027055154091272,-0.015260554841706134,2102.259805504,2229.841057,226.295088,2325.446863
126,5040000,1040,2.348336844566541,10.963412553836138,-0.012846053415351213,2130.444789016,2232.074941,226.295088,2420.998269
127,5080000,1040,2.3180308433679433,11.1699510433735,-0.015064003426132098,2137.897652456,2232.738891,242.079369,2420.998269
128,5120000,1040,2.290737995123252,9.536614591647417,-0.017516260326560885,2133.9973452159993,2234.683665,271.908883,2420.998269
129,5160000,1039,2.2623505213321784,11.79712925446339,-0.013862370865535923,2155.185742184,2227.34334,271.908883,2340.280589
130,5200000,1039,2.240286698096838,10.932230043411256,-0.015941410911741862,2120.950091648,2229.892044,166.998263,2341.446538
131,5240000,1038,2.208293324861771,9.231339378845997,-0.015242559544220477,2109.2628171119995,2226.103628,166.998263,2341.446538
132,5280000,1037,2.1818017036486896,14.885564797963852,-0.012813661992162778,2080.740444432,2227.963599,166.998263,2321.966872
133,5320000,1036,2.1519382739678408,12.327348907177266,-0.019287523003712965,2119.471213832,2226.165614,203.81005,2323.436101
134,5360000,1038,2.121162448785244,10.87464936818832,-0.014599598193140433,2135.8514760400003,2226.759565,203.81005,2337.135294
135,5400000,1039,2.0847582817077637,13.25775211713253,-0.012252015398777216,2101.1334834720005,2227.855502,203.81005,2337.135294
136,5440000,1039,2.0451232962119272,11.430409079331618,-0.01538913945739459,2113.794945032,2231.891483,256.510195,2387.865749
137,5480000,1039,2.0113255589436263,10.668992195373926,-0.01269725309274434,2073.822767984,2230.727177,237.185511,2419.723978
138,5520000,1039,1.9831382329647358,11.205450839262742,-0.016962759709358812,2106.125035008,2221.921833,237.185511,2419.723978
139,5560000,1039,1.9611584052061424,13.234455594038351,-0.018371728029104327,2067.6964534559997,2219.835018,195.917383,2419.723978
140,5600000,1040,1.9342330663632123,9.839508512692573,-0.018551779590612008,2126.0706078160006,2219.827214,195.917383,2500.56212
141,5640000,1042,1.9063040372652886,12.157485780960474,-0.014285125029504669,2149.76625864,2221.019793,195.917383,2500.56212
142,5680000,1042,1.8733537848179156,13.046511810253827,-0.018097404918919962,2208.593904696,2234.133981,282.784189,2545.898554
143,5720000,1042,1.8469202931110675,12.92479102428143,-0.014390520652355358,2248.0021678959997,2249.202998,1200.019261,2664.125754
144,5760000,1042,1.818946698995737,14.182432985305786,-0.013785635126287861,2250.42618776,2264.440045,655.150075,2664.125754
145,5800000,1042,1.7935196714523511,13.710875552739852,-0.016756214660992367,2241.3390829040004,2275.271655,348.412926,2664.125754
146,5840000,1043,1.7713269848089952,11.667288561356374,-0.011761676269694968,2218.3715706799994,2264.440045,259.635413,2641.96681
147,5880000,1044,1.7404509547429208,13.090943505213811,-0.016434316305306614,2247.5422122960003,2274.18193,259.635413,2641.96681
148,5920000,1044,1.7084516647534493,12.040111836408958,-0.013079551756937946,2219.161551072,2262.904849,222.116565,2691.584211
149,5960000,1044,1.6845866680145263,12.161562983194987,-0.015788541996153073,2249.10635976,2269.722515,222.116565,2691.584211
150,6000000,1042,1.6603630927892832,12.007489063800909,-0.01625481229932167,2232.300008912,2266.977355,222.116565,2691.584211
151,6040000,1041,1.6450328038288997,11.54388902982076,-0.015555052514238736,2257.4321391360004,2273.380439,162.7588,2678.372727
152,6080000,1041,1.6265164124660003,11.862430650759967,-0.01602259677482578,2233.037724808,2268.984728,162.7588,2678.372727
153,6120000,1040,1.6018766351235219,12.535392998426389,-0.01773082429044268,2207.831434936,2268.984728,162.7588,2557.578056
154,6160000,1041,1.573127798545055,12.272515476666964,-0.014527307383592323,2237.4507220400005,2270.074926,210.440653,2787.909008
155,6200000,1041,1.5429499629216317,13.900063804479746,-0.01627418625034923,2239.3770265119997,2280.563371,210.440653,2787.909008
156,6240000,1040,1.5144784893745031,13.1416471187885,-0.01510311054525678,2283.53918428,2292.600032,244.774544,2787.909008
157,6280000,1040,1.483090279958187,12.90430275110098,-0.015221369493482574,2272.8791781440004,2301.932797,244.774544,2678.699283
158,6320000,1039,1.4560112956242683,12.368662687448355,-0.018471437102841895,2323.2204603279993,2317.812034,456.544754,2718.488654
159,6360000,1039,1.4294732274153295,12.996753543462509,-0.01639450566599874,2295.08046164,2305.244858,388.526021,2718.488654
160,6400000,1038,1.411639143870427,13.624072918525108,-0.01674376657892702,2254.8327087840003,2313.341638,229.959148,2718.488654
161,6440000,1038,1.3951145077363039,14.108524046188746,-0.019141358977634436,2210.2312489200003,2307.613353,229.959148,2673.743811
162,6480000,1038,1.3766848609997675,16.597409796103452,-0.016332965708370933,2241.7545527680004,2317.713869,229.959148,2806.236698
163,6520000,1038,1.3571010228915092,14.224955837543193,-0.018102374206109044,2277.714663488,2324.647764,261.607656,2807.861718
164,6560000,1038,1.3336960621369192,12.094996163783929,-0.014562606407297351,2329.760208624,2325.500786,261.607656,2807.861718
165,6600000,1037,1.3105713223799682,12.261450526653192,-0.017129476264623616,2322.9404167600005,2325.346426,245.902985,2807.861718
166,6640000,1036,1.2884834552422548,13.82944424702571,-0.01825909803354499,2332.568435816,2330.618288,245.902985,2754.774906
167,6680000,1036,1.2662975632227385,12.591685658234816,-0.016559960019964282,2295.693647664,2330.71694,202.904134,2689.014535
168,6720000,1035,1.2476645512458606,13.451077153132513,-0.017114154772627024,2302.461082232,2323.867263,202.904134,2686.546291
169,6760000,1035,1.2264082266734198,14.526460392047197,-0.017527967765934776,2290.3542427919997,2332.167551,202.904134,2686.546291
170,6800000,1035,1.2000961826397822,12.63953863535172,-0.017504628844490538,2292.2356222480003,2332.167551,202.904134,2677.649111
171,6840000,1035,1.1777501794008107,12.113412387554462,-0.016416624997005923,2322.59970984,2345.030741,251.954761,2802.336188
172,6880000,1034,1.1553373850308932,14.23720748485663,-0.013191734370309113,2366.04505376,2359.264085,378.298001,2802.336188
173,6920000,1032,1.1410110336083632,14.333703605945294,-0.017849431529015046,2370.803168352,2389.319078,251.956005,2802.336188
174,6960000,1023,1.1285257996656957,16.911770033225036,-0.016580522332141977,2336.4254376080003,2396.185031,250.409019,2919.353268
175,7000000,1022,1.1095427996073013,14.677113349621113,-0.021522145824285244,2339.2404879439996,2404.602652,250.409019,2930.713551
176,7040000,1021,1.0880270695075012,16.484253433423163,-0.012170905335379081,2362.665493591999,2404.041121,250.409019,2930.713551
177,7080000,1021,1.0630128560922085,14.035149653752645,-0.018232245718438487,2412.9043894719994,2445.569664,333.260034,2930.713551
178,7120000,1021,1.0436260415957523,14.6371955150213,-0.016454962538167212,2399.9491413679993,2452.090553,186.376551,2803.617751
179,7160000,1022,1.025308614052259,13.182011933204455,-0.01702761324107623,2438.734423368,2502.907326,186.376551,2803.617751
180,7200000,1021,1.0105483929316204,14.899633994469276,-0.016263729534973837,2425.526696784,2516.736096,186.376551,2820.524228
181,7240000,1021,0.9995970727541508,13.250929164886475,-0.015576064510737408,2510.1425293919997,2553.243083,468.964076,2820.524228
182,7280000,1020,0.9844312163499686,12.613561092278896,-0.01342376776273084,2527.2401409999998,2567.207416,468.964076,2820.524228
183,7320000,1020,0.9681211871978564,13.29282922500219,-0.014038920020809597,2567.718041016,2586.733842,2267.552913,2889.113383
184,7360000,1020,0.9492809288012676,12.011500370808136,-0.017769316467531146,2518.2797421359996,2581.75501,218.37563,2889.113383
185,7400000,1019,0.9281389054579613,11.433366557879326,-0.01457986070416108,2508.0987310799997,2564.382498,218.37563,2889.113383
186,7440000,1019,0.9098144031487978,14.935590619307298,-0.01245185566531757,2433.098185143999,2581.85918,218.37563,2813.020312
187,7480000,1019,0.8911049200938298,13.695998377677721,-0.016534067292396242,2423.53702748,2565.697297,276.412422,2813.020312
188,7520000,1019,0.8718277925100082,14.950988603249574,-0.012824025848889364,2428.2994821599996,2583.991942,276.412422,2861.243591
189,7560000,1019,0.857208543863052,13.825667503552559,-0.014838751394283744,2487.2016980719995,2583.991942,332.658329,2861.243591
190,7600000,1019,0.8404594338857211,13.744724574455848,-0.01472224147383503,2550.3021675760006,2623.740839,408.575788,2861.243591
191,7640000,1019,0.820366907119751,11.812379098549867,-0.015341931214879877,2551.869414976,2635.465613,408.575788,2865.644213
192,7680000,1019,0.8018984077832638,11.431670311169746,-0.014459643754115603,2580.3805167759997,2632.010946,1062.959683,2865.644213
193,7720000,1019,0.7878053325873154,10.634961697994134,-0.01598730889773623,2594.7280849679996,2622.551879,1141.17512,2865.644213
194,7760000,1020,0.7758952827025682,11.597814519588765,-0.015620947542349594,2616.728405416,2627.711022,2272.438521,2883.840964
195,7800000,1021,0.7652537379509363,11.429823569762402,-0.015758426209243063,2626.401572192,2640.813279,2257.962782,2883.840964
196,7840000,1021,0.7555053082796244,12.37183729318472,-0.015694363421584385,2577.0711787039995,2652.239343,272.511068,2905.289557
197,7880000,1021,0.7374247211676378,10.704347468645144,-0.015217131129667485,2548.6230923520006,2638.306651,272.511068,2905.289557
198,7920000,1021,0.724597972478622,12.095257745644986,-0.017232518055840418,2545.2319549919994,2633.87824,272.511068,2905.289557
