iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,3571,10.060759436778532,16.07112244337033,-0.027042476263364406,-16.828945672000003,-13.847693,-95.609521,9.00653
2,80000,3576,9.903703014667217,14.74288902038183,-0.031913588968862504,-11.987576679999998,-11.497829,-65.788809,34.127627
3,120000,3392,9.739885640755677,14.510869193688418,-0.03176027161447191,-5.049558288,-5.642457,-44.43324,76.527678
4,160000,3193,9.588868671808488,17.30008479387332,-0.026050275303098783,1.5419770720000001,-1.27227,-32.408314,75.190122
5,200000,3052,9.455902329469339,19.342533901410224,-0.024554052181375505,6.989458864000001,1.053681,-26.895024,82.050024
6,240000,2942,9.343501416230813,26.07108740439782,-0.025579386297911882,15.398980104,6.842096,-20.473653,100.233902
7,280000,2871,9.246376820099659,32.805696438520386,-0.02561416795939201,26.455427135999997,11.62053,-41.16611,104.740669
8,320000,2849,9.144451742905837,34.92634218900631,-0.024449720842695127,40.525177832000004,31.425874,-41.553613,119.635059
9,360000,2817,9.03992888377263,33.42790790704581,-0.01999510378860018,54.382723712,68.609694,-37.803962,144.626224
10,400000,2795,8.92950701591296,29.251368067814752,-0.020290823784158325,80.59374225600003,86.088623,-47.711455,156.913679
11,440000,2783,8.83192945138002,23.734877141316733,-0.021684527641935767,90.14290555200003,91.646741,-21.870625,171.682195
12,480000,2758,8.724842186463185,22.145113397255923,-0.022515271467982063,99.314879592,100.187215,-26.92574,181.097256
13,520000,2743,8.61112380150037,22.500899424919716,-0.022544338087997554,108.96839280000002,110.416549,-49.466874,187.894562
14,560000,2725,8.506111555833083,18.163412130795994,-0.020669772396929777,132.71406819199998,135.126804,28.545643,206.365035
15,600000,2701,8.412114451481745,16.875183884302775,-0.019728529714036713,148.80462820799997,155.462762,28.460494,225.429096
16,640000,2687,8.328100757109814,16.18006226343986,-0.014564680019234052,168.576206592,169.468123,79.570238,294.292598
17,680000,2673,8.223185529464331,17.205616664886474,-0.01803224758873395,170.8537256,176.784361,-37.488509,273.982094
18,720000,2668,8.109622460145216,12.23380243228032,-0.017184331682353962,177.39283361599996,176.410546,93.089732,322.107793
19,760000,2675,8.015024138719607,15.799528821309407,-0.016934794095054245,198.2611552,192.297531,103.605082,370.892494
20,800000,2671,7.924773618502495,18.92163966007722,-0.01452876141044656,218.80415638399998,205.854737,113.811037,394.923413
