/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_02_21__19_22_19__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_02_21__19_22_19__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_02_21__19_22_19__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1255, mean/median reward 24.7/23.0, min/max reward -8.4/95.9, entropy 10.05, value loss 16.51, policy loss -0.032
Updates 2, num timesteps 80000, FPS 1140, mean/median reward 34.8/33.0, min/max reward 0.9/86.4, entropy 9.93, value loss 18.03, policy loss -0.030
Updates 3, num timesteps 120000, FPS 1085, mean/median reward 46.7/45.4, min/max reward 1.8/124.0, entropy 9.79, value loss 21.37, policy loss -0.033
Updates 4, num timesteps 160000, FPS 1057, mean/median reward 62.1/58.0, min/max reward 9.2/166.5, entropy 9.66, value loss 26.88, policy loss -0.027
Updates 5, num timesteps 200000, FPS 1043, mean/median reward 77.2/70.5, min/max reward 15.6/227.4, entropy 9.54, value loss 27.42, policy loss -0.027
Updates 6, num timesteps 240000, FPS 1062, mean/median reward 94.6/83.0, min/max reward 29.2/231.5, entropy 9.42, value loss 27.77, policy loss -0.025
Updates 7, num timesteps 280000, FPS 1052, mean/median reward 102.2/94.3, min/max reward 32.5/223.5, entropy 9.30, value loss 27.79, policy loss -0.028
Updates 8, num timesteps 320000, FPS 1045, mean/median reward 130.9/124.1, min/max reward 23.4/286.9, entropy 9.19, value loss 30.04, policy loss -0.024
Updates 9, num timesteps 360000, FPS 1048, mean/median reward 146.7/141.8, min/max reward 29.2/341.6, entropy 9.09, value loss 33.60, policy loss -0.018
Updates 10, num timesteps 400000, FPS 1045, mean/median reward 166.6/169.8, min/max reward 35.8/351.4, entropy 8.99, value loss 32.34, policy loss -0.023
Updates 11, num timesteps 440000, FPS 1050, mean/median reward 184.2/192.1, min/max reward 70.2/334.9, entropy 8.89, value loss 34.43, policy loss -0.020
Updates 12, num timesteps 480000, FPS 1052, mean/median reward 193.3/189.3, min/max reward 45.2/523.0, entropy 8.79, value loss 36.54, policy loss -0.020
Updates 13, num timesteps 520000, FPS 1057, mean/median reward 211.5/210.0, min/max reward 55.6/589.9, entropy 8.69, value loss 38.92, policy loss -0.020
