iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1053,10.03892303613516,14.838506009028508,-0.028766547643298952,25.077559712000003,23.107541,-5.428179,72.284047
2,80000,875,9.91045128993499,16.273914434970955,-0.03192252013406967,30.775282295999997,28.426142,-6.175685,97.792416
3,120000,805,9.765823188194862,19.89974645467905,-0.031528131483719336,38.726013568,37.585278,2.406116,98.478459
4,160000,725,9.649127727899796,23.83450582699898,-0.028834706102274,54.276212879999996,50.998074,14.149429,134.013334
5,200000,720,9.52671535443037,25.440959666325497,-0.029320307667494022,57.950257192,53.08041,9.313755,163.370361
6,240000,710,9.412611704606276,25.786356796362462,-0.02498691137131969,78.03613056,70.780875,23.902107,186.692314
7,280000,701,9.302505209507085,28.301174731132313,-0.025087799004671604,94.245128912,88.917621,25.361755,225.102047
8,320000,700,9.193080831185366,28.55297997303498,-0.02384508998190587,106.46933364,99.826376,10.148808,204.871336
9,360000,687,9.089305156316513,31.04536681052966,-0.018171916956209944,120.34436324,119.254398,49.730757,246.866298
10,400000,686,8.987339878082276,30.024741028516722,-0.02129005629112026,130.4031486,135.427095,32.631743,291.467369
11,440000,688,8.8815522756332,29.50898155310215,-0.025880285636594634,148.55237455199997,153.538017,46.473465,293.431991
12,480000,684,8.78799810165014,30.10349716284336,-0.020537300585004768,165.706015792,168.295666,50.445781,307.232071
13,520000,681,8.685684382609832,29.73884856884296,-0.01827192841075698,177.90270541599998,176.10016,57.004378,316.911562
14,560000,680,8.584176173576942,29.30142457179534,-0.01734825178509942,197.51232220800003,202.887405,66.490525,320.427626
15,600000,680,8.47708898201967,29.62474530782455,-0.01799636467200262,199.18306753599998,201.032787,76.037183,513.776965
16,640000,665,8.385995945563684,30.593166649647248,-0.016078788260384523,225.37856528000003,219.369249,60.514281,541.084273
17,680000,661,8.292531042832595,28.823125054286077,-0.01643856133666351,244.59585304799995,233.160301,54.716313,668.075393
18,720000,661,8.210073593335274,30.4218293263362,-0.016973086844686455,292.781286488,245.29719,66.589196,926.201029
19,760000,663,8.131338178194486,31.23532555653499,-0.014174323946952847,321.69056603200005,262.101531,103.58679,1318.375775
20,800000,663,8.04419029920529,25.121819315201197,-0.01338874407348414,432.772613272,256.551647,108.652846,1636.43143
21,840000,665,7.956277804496961,19.509930856411273,-0.015858230365530544,586.676846464,289.173732,80.608224,1678.914109
22,880000,667,7.861731003492307,14.424720116150684,-0.009423228267890712,619.1881725439999,282.718625,104.556959,1741.665307
