iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,3329,10.189310778104343,30931.402080829328,-0.0039135889905036235,-1652.166112264,-1451.044343,-4377.398108,-528.604543
2,80000,3271,10.181436868814322,33824.25600961538,-0.015392591010403031,-2222.0321097199994,-1990.693246,-6444.610115,-871.141922
3,120000,3110,10.173642767392671,42836.19178936298,-0.02311822807876011,-2161.6150535439997,-2023.633114,-5025.272766,-873.849306
4,160000,2977,10.156821527236547,42350.77482471955,-0.027201875659953564,-1785.941649288,-1686.216475,-4411.4249,-696.851781
5,200000,2932,10.132188212565886,33248.75069861779,-0.03510448189738851,-1627.0180373920002,-1615.790973,-3120.490305,-825.307405
6,240000,2900,10.097309046525222,24107.500903946315,-0.03415483626893733,-1393.8903608159999,-1299.849367,-2446.242524,-724.219024
7,280000,2875,10.049250081869273,16841.398973357373,-0.03558213057515856,-1254.7947524320002,-1195.658948,-2126.077709,-728.474832
8,320000,2868,9.987800021049305,11301.23018329327,-0.03898898740817691,-1147.3482324880001,-1083.59341,-2250.123077,-727.459664
9,360000,2867,9.913124803396371,8283.688988631811,-0.035182436244735396,-1035.0575634079999,-973.420644,-2017.123884,-615.320538
10,400000,2859,9.825103605710543,6298.032289788662,-0.027642929462415804,-966.2423973919999,-969.462147,-1675.760236,-615.059457
11,440000,2846,9.720308795342078,5061.236928460537,-0.02215431873314978,-927.0236596879997,-862.785316,-1443.645183,-619.508228
12,480000,2835,9.628105884943253,4379.062335674579,-0.02413471010577035,-871.462394952,-855.567966,-1443.075436,-618.558577
13,520000,2821,9.523688851870023,4015.284414438101,-0.024808248302720014,-895.1165996159998,-859.470329,-1337.256903,-626.746414
14,560000,2814,9.41679578927847,3495.3560271434294,-0.018938546346199032,-874.039123168,-857.40586,-1446.212038,-624.809555
15,600000,2808,9.290018128126096,3002.3669975085136,-0.020386600589028185,-841.6677383120001,-858.214271,-1335.270613,-621.120621
16,640000,2802,9.165448462657439,2757.9291447566106,-0.018442356801992552,-841.9706932320001,-857.303751,-1451.849798,-627.46012
17,680000,2795,9.024989820138002,2434.4194235777245,-0.011228816931562063,-818.519290736,-749.109479,-1214.761755,-624.075279
18,720000,2790,8.896643758431459,2260.0062589205227,-0.01037716494846301,-813.9855676720001,-747.635755,-1214.051217,-621.046738
19,760000,2784,8.749805149665246,1989.205283140525,-0.009178136327047982,-796.783567376,-747.244088,-1102.517427,-620.798394
20,800000,2777,8.6010099313198,1810.6970958220652,-0.004518200329095215,-786.5540328639999,-745.514843,-1095.578442,-621.995016
21,840000,2767,8.435255048213861,1711.0264610877405,-0.010673350011571669,-791.0862290239999,-745.242087,-1335.651396,-623.246836
22,880000,2756,8.289040404099685,1503.519646903796,-0.00814734837068756,-778.033035016,-745.538811,-1102.536069,-621.215233
23,920000,2742,8.119724796979856,1395.2671871869993,-0.010661649918564274,-774.5704777520001,-743.524769,-1097.988265,-621.282488
24,960000,2731,7.964786646916316,1293.9212342873598,-0.006126577327851033,-767.035000368,-743.710093,-980.345194,-622.935507
25,1000000,2722,7.808308579371526,1198.652617938702,-0.00704124185875303,-771.41573088,-743.258666,-1094.996596,-619.140998
26,1040000,2714,7.642091590930254,1112.2469635792268,-0.0067909275608074565,-762.6806999840002,-742.555398,-1099.202498,-621.577328
27,1080000,2704,7.475845052034427,1073.3626291128305,-0.005748336189665282,-756.152610304,-742.547218,-979.486795,-622.771116
28,1120000,2698,7.298716047482613,990.6899324857271,-0.004949021440224664,-765.9066247760001,-743.284075,-985.342122,-621.286505
29,1160000,2693,7.12721252808204,913.2887848682892,-0.004594450291710344,-759.9072246640002,-742.470861,-1097.585807,-623.109435
30,1200000,2694,6.955271470241057,866.9946919759115,-0.0029231216585545693,-751.4475235919999,-742.133489,-977.271423,-620.987202
31,1240000,2693,6.799059155048468,833.891462511894,-0.0062340757723760385,-752.100104888,-742.226109,-862.421135,-621.875452
32,1280000,2694,6.649502202792045,759.0416474953676,-0.0019805886904717997,-746.9074471040001,-741.159396,-976.838055,-620.804875
33,1320000,2699,6.497465057862111,758.5528646615835,-0.0019923953751015524,-738.0271632800001,-740.932796,-863.896723,-623.192401
34,1360000,2703,6.336176945612981,700.4933009612255,-0.0061011091638460925,-745.1370929760002,-741.005606,-980.846718,-622.596322
