iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,3125,10.044182112278083,16.973169128711408,-0.032839614024627595,29.633889983999996,26.100357,-2.453175,105.528772
2,80000,2970,9.925941098042024,20.39431848281469,-0.02920878634899031,36.612517991999994,32.55326,0.829136,132.152143
3,120000,2635,9.800170040130615,22.588793500264487,-0.030434676930104987,46.46949368799999,41.577491,4.33142,114.203674
4,160000,2441,9.6806929735037,27.041986827361278,-0.02804172829928575,63.592976447999995,60.817996,12.059399,145.371191
5,200000,2311,9.565972731663631,26.108533377525134,-0.024155553214754596,85.162492144,80.191589,16.389592,193.433224
6,240000,2231,9.443029900086232,26.2742006448599,-0.024006568284307715,99.08713483199999,95.804059,30.749004,211.301187
7,280000,2192,9.329037446242113,25.262969261560684,-0.023199061990323035,117.11770796,108.884219,31.353472,286.405212
8,320000,2157,9.220286264175023,29.629760184654824,-0.024315100523717076,132.412479648,132.337974,33.906192,262.030435
9,360000,2136,9.097856301527758,28.360187432704826,-0.02025808500809198,146.21347969600004,146.556873,44.715864,265.009694
10,400000,2120,8.976850292010186,28.746921206743288,-0.019449543180384447,170.04899528800001,166.779252,71.616214,315.353608
11,440000,2111,8.866864272875663,30.884777313623673,-0.017042978166668596,180.76732520799996,174.196263,56.934854,377.875384
12,480000,2100,8.766561716030806,28.09264668684739,-0.015450577354040899,193.73693213599998,193.677902,83.025327,444.02497
13,520000,2092,8.666829979725373,33.043953034816646,-0.015517148375585795,219.322274136,214.508146,94.096939,387.567459
14,560000,2092,8.57358692120283,36.69326361142672,-0.01688024532202876,222.730244256,214.562366,89.929756,673.658079
15,600000,2090,8.491684316977476,36.808170739198346,-0.01349775035543224,235.431707448,234.709074,50.53221,468.521604
16,640000,2089,8.42366286791288,38.60284788669684,-0.012021466208403954,256.90158084800004,254.544215,17.610345,600.603829
17,680000,2092,8.358646172743578,39.255264785962225,-0.009683485622390901,285.37747962400005,267.097374,94.938896,913.20684
18,720000,2091,8.292586915920943,42.19139306973188,-0.01318795701940988,273.418032616,272.249507,89.881279,753.446102
19,760000,2087,8.222756091142312,45.29412772838886,-0.0091106180616547,297.000576872,291.224848,99.162673,700.819893
20,800000,2082,8.169628122525337,43.98066006195851,-0.009423856041132985,294.558120448,268.499525,94.371689,850.231115
21,840000,2078,8.116775074983254,41.76835856559949,-0.0064315776982067085,307.55319728800004,294.634058,113.24146,1079.934373
22,880000,2074,8.054911044927744,38.273676622830905,-0.004132256456236624,324.534932624,289.986021,119.761963,1370.934628
23,920000,2076,7.997182671229044,34.26332887991881,-0.005906846096742158,304.5849615359999,285.464869,113.106484,784.320339
24,960000,2078,7.955260504209078,36.71741636227339,-0.013362665156651368,305.412312672,274.521442,107.602157,1079.194008
25,1000000,2082,7.902575857211382,33.33774770834507,-0.005567210992422845,292.4958918240001,265.461122,119.83383,1474.798198
26,1040000,2085,7.851180656139667,40.71366954950186,-0.010052182879348365,332.30628040000005,310.151994,107.166381,873.688806
27,1080000,2086,7.792958162992429,36.87718125367776,-0.007793833643975235,352.940665384,297.325543,140.499723,1446.579719
28,1120000,2086,7.763111821199074,41.876909529857144,-0.00963661645349557,381.84338388000003,305.3605,121.894934,1397.643093
29,1160000,2085,7.726335068238087,40.046647453308104,-0.012600041219318368,379.754135072,307.439513,141.045086,1480.543241
30,1200000,2086,7.6695533190018095,38.38951940536499,-0.010173940535885497,462.453829888,323.587941,127.970409,1504.457814
31,1240000,2090,7.596543493026342,35.30741046025203,-0.009215929340018938,458.614223688,318.946157,181.973129,1472.924634
32,1280000,2092,7.519641162187625,25.962080275706757,-0.009427858915221759,587.9187210480001,341.307861,127.101475,1525.928803
33,1320000,2091,7.447368200008686,22.904922813024275,-0.009310879318796558,714.35554892,341.504438,127.101475,1529.80277
34,1360000,2090,7.389934301376343,22.017265742864364,-0.007867104428087492,915.380321528,1099.540548,199.188781,1573.081636
35,1400000,2089,7.329813903417342,22.328646060747978,-0.011425991770813245,939.5986622960002,1082.592323,214.163616,1574.947661
36,1440000,2087,7.276948415316069,29.53644098135141,-0.012740741368347349,950.7651074960002,1060.482618,176.792499,1591.613526
37,1480000,2087,7.193207672314766,18.79607712672307,-0.009153028098435009,1028.040068152,1468.867132,171.216006,1591.613526
38,1520000,2086,7.1253585766523315,17.049625325814272,-0.0045665749058594555,1109.6723963999998,1486.876371,171.216006,1591.176866
39,1560000,2086,7.054785985213059,19.959988007178673,-0.00815397965986379,1167.5487575199998,1534.229183,155.0376,1607.504182
40,1600000,2086,6.975512417768821,16.941303540498783,-0.011395535387176399,1216.203819752,1548.445958,155.0376,1635.561137
41,1640000,2084,6.927124233734913,15.54378533852406,-0.006336435556743079,1227.212178544,1554.374453,177.367763,1635.561137
42,1680000,2082,6.8717741049253025,15.808516803154578,-0.008897844185654927,1336.7236262479998,1580.482557,179.245304,1635.561137
43,1720000,2080,6.824696600742829,14.04449401757656,-0.009380661841192378,1355.1446670240002,1586.61348,211.250346,1649.528295
44,1760000,2079,6.773369873487033,14.023613962149009,-0.01137115138404531,1411.329204488,1596.46072,202.069789,1649.528295
45,1800000,2080,6.721505630933321,17.046096947865607,-0.009496451462977208,1431.971687192,1600.884712,186.75318,1657.426604
46,1840000,2077,6.661900955591446,16.168252414923447,-0.012823322543856474,1454.2118283200002,1602.780615,186.75318,1669.354712
47,1880000,2075,6.60850664407779,14.17844741038787,-0.0073374147251179704,1503.9008537680002,1602.780615,186.75318,1669.354712
48,1920000,2075,6.557206647824018,15.972948898413243,-0.012172936512331197,1549.5533775759998,1609.013345,223.551181,1669.354712
49,1960000,2075,6.521137204537025,21.80509330798418,-0.013137237970052713,1481.798829344,1606.322094,153.537056,1666.168219
50,2000000,2074,6.481896923749875,15.914633401234944,-0.008916953804407221,1492.58906064,1613.045468,153.537056,1666.168219
51,2040000,2075,6.436726744969686,18.930589585426524,-0.014457590927113182,1490.4597795360003,1610.700463,153.537056,1663.086078
52,2080000,2078,6.381547800699869,20.570442962646485,-0.014085132554893603,1456.913050408,1614.035888,199.03634,1662.853197
53,2120000,2080,6.322952084663587,17.301659236810146,-0.014582174176533813,1454.5173256479998,1612.281548,199.03634,1662.853197
54,2160000,2080,6.269155216217041,17.938425575158536,-0.01671329441546382,1422.283638032,1618.440285,199.03634,1662.853197
55,2200000,2079,6.222317892465836,21.76370358344836,-0.010968913007860837,1448.796704328,1629.869966,214.049394,1716.189751
56,2240000,2077,6.176998035724346,18.763935395387502,-0.013755811015084291,1421.2393420560002,1632.732026,214.049394,1716.189751
57,2280000,2074,6.127796255013881,14.671246450375287,-0.013874242833671465,1450.5671433520001,1634.297268,214.049394,1717.50139
58,2320000,2072,6.080824620907123,19.812404703482603,-0.014180290515105299,1416.0370913200006,1647.758331,221.776024,1728.764766
59,2360000,2069,6.026092372796474,20.295213232284937,-0.01157880333907647,1412.8419484400001,1650.605086,205.444362,1728.764766
60,2400000,2068,5.970417707394331,11.198816102590316,-0.009079495334401892,1455.2325181759995,1658.301578,205.444362,1728.764766
