iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1031,10.042714500427246,16.522539852827023,-0.03033903022147476,24.396540912,23.246417,-3.312111,86.894263
2,80000,1014,9.923960856902294,20.55386826197306,-0.0284735658631969,34.13911396000001,28.857906,2.375601,99.75018
3,120000,1010,9.789418765826102,23.72161218936627,-0.029254221194535673,49.51011033599999,44.980204,8.843319,117.257935
4,160000,1009,9.669706501104892,26.93811642328898,-0.027749238059764956,60.448132808000004,59.856416,10.906505,164.667698
5,200000,1009,9.542887506729517,29.367776151803824,-0.026408110098996893,72.819200152,69.910158,5.729382,189.397736
6,240000,1008,9.428754901885986,27.91786480194483,-0.022741190094310672,91.366573704,88.513741,11.79258,204.324112
7,280000,1007,9.314479179871388,29.576019663688463,-0.024817748689122544,105.86603871999999,104.985249,27.56017,195.407286
8,320000,1021,9.208261355375631,31.780435811556302,-0.023090490117633287,115.43863801600001,112.376267,35.204961,200.359758
9,360000,1038,9.108449762295454,31.622290347172665,-0.023546477206811033,138.81172362400002,135.0554,11.097661,275.246326
10,400000,1035,9.01523873255803,31.672284312125964,-0.02015888308128174,154.37808085600003,153.95047,37.650244,323.953559
11,440000,1032,8.918487108670748,37.376724883837575,-0.022688455137391334,167.80958788800004,167.185209,64.654489,350.581432
12,480000,1029,8.820184646508633,37.23306997983884,-0.018502102303654493,199.46216761600004,191.251445,76.126387,521.526966
13,520000,1026,8.719117905543401,38.241102834848256,-0.01564748533313925,227.04430033599996,227.391921,65.291547,471.147083
14,560000,1024,8.61894809282743,42.99999055373363,-0.01746125516282262,221.17150404,225.879306,64.148145,527.019934
15,600000,1022,8.521564806424655,39.77446204943535,-0.02129884561868727,269.50092701600005,251.517941,101.437254,847.505552
16,640000,1020,8.430227235647349,42.585762253785745,-0.017593623993210572,273.09861507200003,245.158537,85.253326,944.44267
17,680000,1025,8.336401792672964,37.606884398827184,-0.017349761048666177,271.17316087200004,243.736165,87.8933,1220.174239
18,720000,1032,8.231679776998666,30.469626431587415,-0.01647028069382008,348.05749183200004,273.242084,100.191379,1356.363332
19,760000,1030,8.123444692905133,26.356615095872144,-0.0130758295218514,539.552988784,307.152424,100.191379,1370.190434
20,800000,1028,8.031094335898375,25.63879065146813,-0.014377755035261194,528.593329808,303.29376,133.498967,1445.576353
21,840000,1026,7.946861435816838,25.72117046454014,-0.013932308016303114,574.9078479359999,351.95529,121.103013,1457.468828
22,880000,1024,7.865222721833449,31.008221007616093,-0.01573180366801516,723.2670734960001,479.825273,119.784723,1516.41875
23,920000,1023,7.788593265337822,27.70878443351159,-0.011538164682021419,671.9518658799998,470.454899,119.784723,1516.624598
24,960000,1021,7.701089295362815,19.499763823778203,-0.009783355262222288,728.250497624,483.763894,195.900894,1530.778787
25,1000000,1019,7.620569304930858,19.08919894634149,-0.008503767767848704,947.410132928,1112.089812,195.900894,1546.234374
26,1040000,1020,7.545822403981135,19.222637900328024,-0.010913502999998551,1113.582108856,1396.345822,195.900894,1546.234374
27,1080000,1026,7.463238412905962,15.262998464779976,-0.008111799135673583,1212.592027352,1423.327716,201.703701,1553.771512
28,1120000,1025,7.381525028668917,15.077471316166413,-0.014061163461920864,1306.8990392719998,1430.994599,139.228951,1572.030553
29,1160000,1024,7.31116548807193,18.55405734746884,-0.010799513006014212,1291.21338444,1435.712723,138.585279,1583.251084
30,1200000,1022,7.227518619635166,15.75901336180858,-0.011777410025294954,1322.8022586560003,1448.531056,138.585279,1595.852431
31,1240000,1021,7.1776515813974235,15.541580304121359,-0.0136318729510001,1259.9849563999999,1456.73876,117.77606,1607.877376
32,1280000,1019,7.100185267130533,14.85613920994294,-0.009316951554715758,1321.448454136,1475.124875,117.77606,1607.877376
33,1320000,1018,7.0188640142098455,11.406830519896287,-0.012328882125625685,1358.27415496,1489.394003,117.77606,1640.792438
34,1360000,1017,6.954355414708456,11.300820934466827,-0.013152309741207529,1432.583875256,1510.712096,145.94957,1640.792438
35,1400000,1017,6.904679390100332,14.1912489988865,-0.009885879818988868,1477.9064252560004,1532.885168,169.118863,1640.792438
36,1440000,1020,6.84199701822721,11.899401187285399,-0.010471855759290823,1450.0012661120002,1539.956657,169.118863,1635.967188
37,1480000,1019,6.773005633476453,9.287722757535104,-0.012482976898900234,1461.557661344,1549.794789,196.210173,1651.745816
38,1520000,1018,6.71458988801027,13.513875401325715,-0.011153708491684273,1470.09619148,1573.819289,170.029048,1661.328157
39,1560000,1017,6.651290719937055,11.772250769688533,-0.011285488610389085,1491.8208016240003,1583.500109,170.029048,1661.328157
40,1600000,1016,6.600124518076579,9.596634663985325,-0.011614250813130266,1500.267458632,1590.381961,170.029048,1661.328157
41,1640000,1015,6.532461678676116,11.2053145750975,-0.013044381012299803,1532.041419104,1601.259201,177.068452,1664.373934
42,1680000,1014,6.477621429394453,13.096178953464214,-0.01486525162707459,1550.9473847440001,1607.143723,174.181603,1689.52379
43,1720000,1013,6.41695822935838,9.654058100627019,-0.013875648757787601,1559.310568184,1610.224403,174.181603,1689.52379
44,1760000,1016,6.3541829390403555,12.775276085657952,-0.01539854837602457,1559.2479200320001,1610.721595,174.181603,1689.52379
45,1800000,1018,6.303220548385229,14.726994895935059,-0.014960699214544805,1575.081055032,1612.84313,219.792039,1674.41661
46,1840000,1018,6.25071232624543,14.13345965116452,-0.018058316681708673,1551.1001247600002,1610.842828,136.973794,1675.777991
47,1880000,1017,6.199879213479849,15.56187195655627,-0.014580217071432764,1524.3194599839999,1611.120371,136.973794,1675.777991
48,1920000,1016,6.152721570088313,15.565467944512001,-0.01651728980719688,1522.0167710959997,1613.300049,136.973794,1675.777991
49,1960000,1016,6.103981364079011,15.647201759387285,-0.016826697193130548,1522.248782888,1617.415625,196.987206,1682.328595
50,2000000,1006,6.043796690916404,17.90179898677728,-0.014503770306160173,1501.601247952,1618.434017,196.987206,1682.328595
51,2040000,995,5.985329724580813,18.448644393529648,-0.014481877438867322,1491.7824429119999,1618.442931,155.047022,1682.328595
52,2080000,995,5.916022165005024,14.778874841103187,-0.016052067762267634,1514.4869182640002,1622.36057,155.047022,1675.346963
53,2120000,995,5.8383408974378534,14.429454282613902,-0.012997560105633545,1572.0642412480001,1631.661922,155.047022,1692.372391
54,2160000,995,5.776262848193829,18.884980473151575,-0.015075245906915277,1563.179127792,1636.04106,187.997576,1730.371458
55,2200000,994,5.70978473394345,14.587358796290863,-0.015162862477509174,1547.336956168,1638.343884,185.848707,1730.371458
56,2240000,998,5.652724676865798,15.591164418367239,-0.01666445309872357,1479.575405216,1643.131734,185.848707,1754.291708
57,2280000,999,5.592198117574056,20.71246801523062,-0.017589643916896117,1407.743240448,1646.512448,150.853535,1754.291708
58,2320000,999,5.5320565492678915,15.105076804527869,-0.01617566000958248,1409.3093286960002,1648.432443,135.688937,1754.291708
59,2360000,999,5.485418088619525,15.228035948826717,-0.01728724909285703,1483.8376426720001,1655.985881,135.688937,1802.558841
60,2400000,999,5.4452067717527735,22.650176759866568,-0.012714571163628417,1538.933348568,1667.118516,135.688937,1802.558841
61,2440000,999,5.387270292868981,17.86422805297069,-0.015635659579064126,1563.973011624,1671.456538,149.765939,1802.558841
62,2480000,998,5.332899808883667,13.772797654836605,-0.015834843074956622,1564.449568016,1673.296369,208.777107,1789.293348
63,2520000,998,5.272578285901974,21.157387745686066,-0.018291773435989037,1551.204115464,1676.319307,203.365519,1789.293348
64,2560000,998,5.218044268779265,18.10456464474018,-0.01577483937540726,1497.5557432319997,1690.961454,140.202201,1789.293348
65,2600000,1000,5.164149564351791,15.53984138293144,-0.01608679512405965,1442.633469112,1692.473668,140.202201,1812.491956
66,2640000,995,5.117016080709604,19.606101992191412,-0.019324303097724062,1464.7906141199999,1705.028301,140.202201,1880.975647
67,2680000,978,5.070924519269894,19.772571776463437,-0.017876257053014856,1470.2316618319996,1708.841482,172.656343,1960.00032
68,2720000,978,5.030697914270254,25.07427734228281,-0.01872304897630014,1441.6710028559999,1709.038591,163.962444,1960.00032
69,2760000,979,4.985258342058231,34.04882669204321,-0.01783910730129066,1418.69066432,1706.223566,151.468261,2146.72819
