/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_01__12_33_57__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_01__12_33_57__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_01__12_33_57__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1031, mean/median reward 24.4/23.2, min/max reward -3.3/86.9, entropy 10.04, value loss 16.52, policy loss -0.030
Updates 2, num timesteps 80000, FPS 1014, mean/median reward 34.1/28.9, min/max reward 2.4/99.8, entropy 9.92, value loss 20.55, policy loss -0.028
Updates 3, num timesteps 120000, FPS 1010, mean/median reward 49.5/45.0, min/max reward 8.8/117.3, entropy 9.79, value loss 23.72, policy loss -0.029
Updates 4, num timesteps 160000, FPS 1009, mean/median reward 60.4/59.9, min/max reward 10.9/164.7, entropy 9.67, value loss 26.94, policy loss -0.028
Updates 5, num timesteps 200000, FPS 1009, mean/median reward 72.8/69.9, min/max reward 5.7/189.4, entropy 9.54, value loss 29.37, policy loss -0.026
Updates 6, num timesteps 240000, FPS 1008, mean/median reward 91.4/88.5, min/max reward 11.8/204.3, entropy 9.43, value loss 27.92, policy loss -0.023
Updates 7, num timesteps 280000, FPS 1007, mean/median reward 105.9/105.0, min/max reward 27.6/195.4, entropy 9.31, value loss 29.58, policy loss -0.025
Updates 8, num timesteps 320000, FPS 1021, mean/median reward 115.4/112.4, min/max reward 35.2/200.4, entropy 9.21, value loss 31.78, policy loss -0.023
Updates 9, num timesteps 360000, FPS 1038, mean/median reward 138.8/135.1, min/max reward 11.1/275.2, entropy 9.11, value loss 31.62, policy loss -0.024
Updates 10, num timesteps 400000, FPS 1035, mean/median reward 154.4/154.0, min/max reward 37.7/324.0, entropy 9.02, value loss 31.67, policy loss -0.020
Updates 11, num timesteps 440000, FPS 1032, mean/median reward 167.8/167.2, min/max reward 64.7/350.6, entropy 8.92, value loss 37.38, policy loss -0.023
Updates 12, num timesteps 480000, FPS 1029, mean/median reward 199.5/191.3, min/max reward 76.1/521.5, entropy 8.82, value loss 37.23, policy loss -0.019
Updates 13, num timesteps 520000, FPS 1026, mean/median reward 227.0/227.4, min/max reward 65.3/471.1, entropy 8.72, value loss 38.24, policy loss -0.016
