/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_23__11_27_27__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_23__11_27_27__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_23__11_27_27__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 782, mean/median reward -33.7/-30.2, min/max reward -99.2/-5.1, entropy 10.06, value loss 16.50, policy loss -0.028
Updates 2, num timesteps 80000, FPS 758, mean/median reward -28.4/-26.4, min/max reward -100.2/-0.4, entropy 9.91, value loss 14.07, policy loss -0.035
Updates 3, num timesteps 120000, FPS 879, mean/median reward -21.5/-22.2, min/max reward -89.3/10.5, entropy 9.74, value loss 12.78, policy loss -0.043
Updates 4, num timesteps 160000, FPS 943, mean/median reward -14.6/-13.9, min/max reward -44.0/7.4, entropy 9.57, value loss 10.61, policy loss -0.038
Updates 5, num timesteps 200000, FPS 985, mean/median reward -5.4/-4.6, min/max reward -28.6/30.6, entropy 9.39, value loss 8.37, policy loss -0.037
Updates 6, num timesteps 240000, FPS 1015, mean/median reward -0.4/-0.4, min/max reward -24.0/42.6, entropy 9.22, value loss 7.65, policy loss -0.030
Updates 7, num timesteps 280000, FPS 1037, mean/median reward 6.2/4.0, min/max reward -26.8/51.8, entropy 9.08, value loss 8.51, policy loss -0.030
Updates 8, num timesteps 320000, FPS 1055, mean/median reward 14.6/10.3, min/max reward -17.2/72.1, entropy 8.93, value loss 9.61, policy loss -0.028
Updates 9, num timesteps 360000, FPS 1068, mean/median reward 25.1/19.7, min/max reward -9.6/66.4, entropy 8.80, value loss 10.98, policy loss -0.026
Updates 10, num timesteps 400000, FPS 1080, mean/median reward 35.3/40.5, min/max reward -10.6/73.5, entropy 8.68, value loss 11.10, policy loss -0.024
Updates 11, num timesteps 440000, FPS 1088, mean/median reward 39.6/46.6, min/max reward -11.0/101.4, entropy 8.55, value loss 9.64, policy loss -0.021
Updates 12, num timesteps 480000, FPS 1095, mean/median reward 53.1/55.9, min/max reward 2.1/84.4, entropy 8.44, value loss 7.29, policy loss -0.024
Updates 13, num timesteps 520000, FPS 1101, mean/median reward 58.3/59.3, min/max reward -0.6/103.5, entropy 8.31, value loss 5.24, policy loss -0.019
Updates 14, num timesteps 560000, FPS 1107, mean/median reward 63.0/63.2, min/max reward 1.8/118.3, entropy 8.19, value loss 5.66, policy loss -0.018
Updates 15, num timesteps 600000, FPS 1095, mean/median reward 69.6/68.2, min/max reward -1.4/131.5, entropy 8.09, value loss 6.27, policy loss -0.015
Updates 16, num timesteps 640000, FPS 1082, mean/median reward 78.8/74.7, min/max reward 7.0/140.8, entropy 8.00, value loss 7.37, policy loss -0.019
Updates 17, num timesteps 680000, FPS 1070, mean/median reward 84.4/79.0, min/max reward 49.8/155.2, entropy 7.91, value loss 8.04, policy loss -0.016
Updates 18, num timesteps 720000, FPS 1060, mean/median reward 103.6/100.6, min/max reward 49.1/226.4, entropy 7.83, value loss 9.80, policy loss -0.020
Updates 19, num timesteps 760000, FPS 1051, mean/median reward 121.7/127.5, min/max reward 52.0/191.8, entropy 7.75, value loss 11.42, policy loss -0.018
Updates 20, num timesteps 800000, FPS 1044, mean/median reward 130.9/132.7, min/max reward 50.2/240.4, entropy 7.66, value loss 10.42, policy loss -0.023
Updates 21, num timesteps 840000, FPS 1037, mean/median reward 138.4/141.5, min/max reward 50.6/247.1, entropy 7.57, value loss 9.28, policy loss -0.018
Updates 22, num timesteps 880000, FPS 1031, mean/median reward 150.0/153.9, min/max reward 12.9/253.4, entropy 7.48, value loss 9.45, policy loss -0.021
Updates 23, num timesteps 920000, FPS 1026, mean/median reward 170.7/160.5, min/max reward 58.6/286.9, entropy 7.37, value loss 9.51, policy loss -0.021
