/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_23__13_17_29__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_23__13_17_29__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_23__13_17_29__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 896, mean/median reward -32.8/-30.3, min/max reward -114.5/1.0, entropy 10.06, value loss 16.29, policy loss -0.029
Updates 2, num timesteps 80000, FPS 928, mean/median reward -26.7/-25.3, min/max reward -89.4/2.9, entropy 9.93, value loss 14.41, policy loss -0.036
Updates 3, num timesteps 120000, FPS 1024, mean/median reward -19.8/-20.3, min/max reward -45.2/6.5, entropy 9.75, value loss 12.47, policy loss -0.040
Updates 4, num timesteps 160000, FPS 1064, mean/median reward -12.4/-11.7, min/max reward -66.5/8.0, entropy 9.58, value loss 10.75, policy loss -0.036
Updates 5, num timesteps 200000, FPS 1091, mean/median reward -4.3/-3.9, min/max reward -47.5/49.7, entropy 9.39, value loss 8.20, policy loss -0.033
Updates 6, num timesteps 240000, FPS 1109, mean/median reward 0.8/0.4, min/max reward -36.7/43.2, entropy 9.22, value loss 7.01, policy loss -0.032
Updates 7, num timesteps 280000, FPS 1121, mean/median reward 4.5/2.4, min/max reward -20.6/51.1, entropy 9.05, value loss 8.31, policy loss -0.031
Updates 8, num timesteps 320000, FPS 1130, mean/median reward 15.3/8.6, min/max reward -12.0/71.3, entropy 8.92, value loss 10.33, policy loss -0.024
Updates 9, num timesteps 360000, FPS 1137, mean/median reward 26.0/20.0, min/max reward -8.7/75.6, entropy 8.80, value loss 11.60, policy loss -0.024
Updates 10, num timesteps 400000, FPS 1142, mean/median reward 36.6/43.5, min/max reward -14.6/79.7, entropy 8.68, value loss 11.63, policy loss -0.026
Updates 11, num timesteps 440000, FPS 1146, mean/median reward 46.2/50.2, min/max reward 1.0/75.9, entropy 8.55, value loss 9.06, policy loss -0.025
Updates 12, num timesteps 480000, FPS 1150, mean/median reward 50.1/54.2, min/max reward -3.5/80.7, entropy 8.41, value loss 5.81, policy loss -0.020
Updates 13, num timesteps 520000, FPS 1153, mean/median reward 57.7/59.1, min/max reward -1.4/84.8, entropy 8.28, value loss 3.53, policy loss -0.015
