iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,988,10.047610053037985,21.427598152405178,-0.02449634305219381,-43.91400161599999,-37.948349,-184.890671,-10.681837
2,80000,983,9.915672221550574,19.049790915464744,-0.029946808871626183,-33.517182664,-30.890626,-100.353697,-9.613478
3,120000,982,9.733686757699036,16.38364441211407,-0.037312945863176045,-27.044974567999997,-26.007736,-65.486529,-7.635101
4,160000,982,9.511864420083853,10.542477763004792,-0.03803282124003416,-24.46907748,-22.212727,-103.764515,-7.516699
5,200000,982,9.244302659156995,6.715272608170142,-0.035798724891393276,-20.806001872,-19.615147,-49.213289,-4.324686
6,240000,983,8.97337565544324,5.3898505216989765,-0.037699289771561055,-15.775343775999998,-15.318144,-34.259159,-4.589429
7,280000,982,8.693420018905249,4.670371388166378,-0.04237858579260482,-13.969089727999998,-13.861727,-25.255157,1.131461
8,320000,982,8.413335651006454,3.936856456291981,-0.04005162250224459,-11.785256464,-12.062073,-22.710655,-0.702266
9,360000,982,8.126145480229304,3.755490432641445,-0.043016862528309455,-9.713750488000002,-9.829641,-20.208481,-0.13641
10,400000,982,7.845378952759963,3.4811876465112737,-0.046057865414499806,-7.682450072000001,-7.485513,-22.176728,1.267334
11,440000,983,7.5724276408171045,3.5722882279982935,-0.050968709399846074,-5.304592776000001,-6.140869,-20.038679,8.278572
12,480000,983,7.30426378372388,3.4168617584766485,-0.04797032238029015,-3.078811904,-2.800605,-22.372392,13.233477
13,520000,983,7.0462395411271315,3.0794609256279775,-0.04459598294589131,-0.5816167360000001,-0.802373,-16.247731,14.111885
14,560000,982,6.7982893809294085,3.1324943212362437,-0.04651583690060644,2.149178976,2.155155,-10.147441,12.146406
15,600000,982,6.552541571397048,2.9477239676010916,-0.046033216071933,4.60196012,4.561821,-6.595094,14.552247
16,640000,982,6.318784525455572,2.6757017993010006,-0.044324237406656794,6.399473896000002,6.669555,-5.211737,18.108654
17,680000,981,6.088042879104615,2.5741543222696355,-0.03964797439574538,9.859672823999999,9.901346,0.03157,23.024235
18,720000,981,5.884897285852677,2.55273419205959,-0.04029730185567855,11.854574848000002,11.918647,0.087719,23.219634
19,760000,980,5.679451864193648,2.650426012124771,-0.03965119898936022,14.598442175999999,14.508615,0.391813,30.855599
20,800000,979,5.482563870992416,2.742864321439694,-0.041794187964935704,18.046835376,17.82623,2.672176,32.077785
21,840000,979,5.320057697785207,3.3260864713253118,-0.04046120642451569,22.403605016,21.438858,3.307353,39.959305
22,880000,978,5.173939010424491,3.8122737371004547,-0.04001507060467982,27.265695719999997,27.131578,7.889138,52.186594
23,920000,977,5.03751206887074,3.833614237797566,-0.04405912500992016,33.403666167999994,32.466624,13.391664,57.649471
24,960000,977,4.917614183670435,3.895910137738937,-0.03406212645538453,37.588868864000005,37.411414,15.529868,65.127601
25,1000000,973,4.791430298487345,3.5070275691839363,-0.03445060459321562,42.964099688,41.840335,21.772113,72.975244
26,1040000,971,4.665652073346651,3.692908152861473,-0.030616790167457508,46.90913315200001,44.118213,24.550112,98.343694
27,1080000,968,4.548798537865663,4.081007638344398,-0.024592665828113706,52.326265264,48.511766,19.912477,115.023688
28,1120000,966,4.445234419749333,4.848773408241761,-0.02664584853197224,60.036092144,57.381253,32.67944,120.913402
29,1160000,964,4.348761567091331,5.973776140579811,-0.02639970815962909,61.90909456,59.565315,26.491497,183.066137
30,1200000,961,4.263262438162779,7.228304414260082,-0.024208388360588848,64.11464435200001,61.015018,19.282001,138.156333
31,1240000,959,4.168119974625417,6.306817199022342,-0.025198257923124728,70.294513208,66.566484,41.887836,161.299198
32,1280000,958,4.068068717076228,5.6452013523150715,-0.025342263205675408,73.14965178399999,69.115715,39.777205,140.296678
33,1320000,956,3.970417763636662,6.588544156612494,-0.02660691450830946,82.74518088,77.90131,43.412414,158.683246
34,1360000,954,3.8713321520732,6.79746332474244,-0.024070667833849514,85.988836248,77.578028,48.044147,213.004682
35,1400000,953,3.7697785927699163,7.265309033027062,-0.025116802631796768,92.86828851199998,89.686745,47.471265,182.862977
36,1440000,951,3.6781873507377427,7.188602810639601,-0.024976261387760483,102.78705291199998,90.196666,41.196902,338.763737
37,1480000,944,3.5831661334404576,7.62486095061669,-0.022313362423898444,104.21286863999998,95.053964,56.810415,220.37818
38,1520000,942,3.470600732167562,7.5175662988271466,-0.020769330145188947,107.727821128,97.913763,53.480975,277.432552
39,1560000,941,3.368164838888706,7.242094941628285,-0.023778636263793885,120.259694248,113.365751,54.149749,297.410324
40,1600000,940,3.2668713367902313,6.711140748170706,-0.022959726305311845,133.81913856000003,125.532738,60.20496,389.424394
41,1640000,939,3.169203251447433,7.688150976865719,-0.02077668197094821,139.905225232,124.939185,60.440321,377.729383
42,1680000,938,3.077845501899719,7.854944572693262,-0.017325885141634408,159.571598232,128.076998,64.450953,508.689615
43,1720000,937,2.9909627455931442,8.162805913044856,-0.019037286946662884,168.17545323999997,144.094632,60.25294,544.961755
44,1760000,936,2.9114031528815243,8.298803779406425,-0.02213482072605611,194.00445189599998,159.029918,68.679272,711.987861
45,1800000,935,2.8313019709709364,8.375895239756657,-0.01911443706042822,191.85226794400003,144.234484,70.580252,768.025818
46,1840000,934,2.7571956597841702,9.0848550986021,-0.022781022096005004,193.74648497600003,150.804004,64.340021,634.678854
47,1880000,933,2.6759705219513332,9.585223101346921,-0.02155680559623691,247.21860491199996,176.406486,65.421251,887.484678
48,1920000,932,2.5898171284259894,8.773049361889178,-0.015145342525106688,256.4742374,192.693175,73.521997,868.692979
49,1960000,932,2.5053565691678954,10.411408831523016,-0.02276556468586699,326.7645900719999,207.264118,68.612048,970.526412
50,2000000,931,2.432091706838363,10.584008337901189,-0.014897106495177235,453.53752146400006,330.408432,86.368859,996.277175
51,2040000,930,2.3435917848195786,10.266595259690897,-0.0168984191418834,563.9749508639999,673.513035,89.124267,1103.420471
52,2080000,931,2.2597789452626156,7.998729799955319,-0.012928482839160073,514.7698585119999,357.541821,89.006747,1169.34757
53,2120000,932,2.1700779071220984,7.431973984302618,-0.015475560977364904,556.054508608,368.019189,84.391175,1169.34757
54,2160000,933,2.084261342195364,6.398735850285261,-0.011167551561569174,601.052994192,601.033931,81.709662,1181.396828
55,2200000,933,2.000618042395665,6.079441320590484,-0.015610571367148086,664.5815276559999,802.500599,81.709662,1206.737853
56,2240000,933,1.9161627732790434,5.620354497738374,-0.012072770523753626,750.879308096,1071.807635,85.627542,1258.458361
57,2280000,929,1.8156613661692693,4.569957611194024,-0.0072715487469208594,745.8291310160001,1069.888727,95.233796,1306.614914
58,2320000,928,1.7140567525839194,3.963116310804318,-0.006859297460454027,756.1735825520002,1084.661613,95.233796,1306.614914
59,2360000,928,1.6154553016026816,3.588817778917459,-0.006590196380849915,913.134586448,1206.028488,99.078506,1330.994646
60,2400000,927,1.530607574719649,3.5296980967888465,-0.008497370396649691,960.241569008,1242.830047,99.078506,1358.557456
61,2440000,926,1.4273145391390873,3.1587566617207647,-0.015784071181088877,970.458327384,1267.24315,95.762388,1376.936433
62,2480000,926,1.3212317622624912,2.2350371232399575,0.002458769021065494,1061.8761830640003,1315.617072,91.77461,1456.796988
63,2520000,925,1.2236476733134343,2.532210272092086,-0.008239694350311019,1098.9490120560001,1345.56717,91.77461,1456.796988
64,2560000,924,1.1282731282405365,3.1404637275597986,-0.01727719949681509,1110.369086752,1373.389718,112.710377,1496.031805
65,2600000,924,1.0176261382225231,2.361683320387816,-0.01688461795959087,1109.0248566,1400.926917,112.710377,1498.150968
66,2640000,923,0.9014338695085966,2.1053324699401856,-0.013152527459113536,1173.460116112,1427.812684,118.281857,1522.362156
67,2680000,923,0.7706911603609721,1.9012795756260554,-0.004198497268393672,1233.817845848,1456.608079,118.281857,1526.516716
