iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,872,10.043950643294897,20.425277421413323,-0.023964209926019137,-46.40121067999999,-39.649524,-168.994555,-15.631428
2,80000,919,9.898672622289412,15.354998562886164,-0.0242491373180364,-39.835573952000004,-37.175571,-98.051656,-15.338309
3,120000,935,9.70684289932251,12.992191550670526,-0.03864279825629171,-32.893388896000005,-31.09995,-86.597474,-16.920527
4,160000,945,9.477148589109763,9.42459884545742,-0.04173182667419986,-26.928890704,-24.644901,-62.843789,-10.621592
5,200000,950,9.216844984201284,6.785702168635833,-0.03985915902413604,-25.140022616000003,-24.387262,-46.203946,-10.792256
6,240000,955,8.95145535835853,5.353301236568353,-0.037510237635183914,-20.931262112,-20.507239,-38.005619,-7.001285
7,280000,958,8.660144167680007,4.509148997526903,-0.04272273664018707,-19.258669280000003,-19.121564,-33.810947,-4.473198
8,320000,960,8.353140356601813,3.8790478333448752,-0.04135657276194065,-15.842522520000001,-15.452668,-29.036676,-2.970335
9,360000,961,8.054687153987395,3.534336175674047,-0.04239051090386662,-14.688231368,-14.210549,-30.332442,-4.249763
10,400000,963,7.744421519988623,3.213312858190292,-0.046509953969880606,-12.519498184,-11.911344,-34.589773,-3.591278
11,440000,964,7.4473478402846895,3.0970126763368264,-0.050013810857602106,-10.992603832,-11.073854,-20.47117,0.677027
12,480000,965,7.158863469881889,2.8413346382287834,-0.045160414321267474,-8.99521148,-9.372456,-24.531102,1.865812
13,520000,966,6.883378149912907,2.6560880654897447,-0.0450499997583206,-6.461709552,-6.672235,-14.964426,1.84258
14,560000,966,6.6110452211820165,2.6194483714225965,-0.04858549592160834,-4.06445068,-3.485342,-14.586865,9.073177
15,600000,964,6.353012858904325,2.826610610423944,-0.04755695035860182,-1.6168234560000003,-1.233563,-15.045883,10.258649
16,640000,961,6.099660551853669,2.541597474844028,-0.04673324151980267,-0.18322405600000008,0.143249,-9.984735,10.225487
17,680000,958,5.8598583796085455,2.4565580670650187,-0.04487704678322189,3.660808928,4.169136,-9.141508,15.24238
18,720000,955,5.630176376685118,2.3311202608622037,-0.044833346550895395,5.0537442,5.127715,-8.324057,14.180855
19,760000,953,5.417827120805398,2.276181536912918,-0.043256229611366645,8.085444072,8.036209,-3.531341,20.916302
20,800000,951,5.211482589672773,2.1895080853731206,-0.04329538365023043,9.71405192,9.678118,-4.990172,19.989823
21,840000,949,5.028884324049338,2.503611009243207,-0.040877163159446075,12.583060448,12.664151,-1.669395,27.676811
22,880000,946,4.858808170220791,2.972146585354438,-0.038453769209296204,16.12286172,15.709777,1.633556,38.053756
23,920000,944,4.707733348699716,3.4683643909601063,-0.04384396825617165,21.931770263999994,21.077594,5.341034,44.082833
24,960000,942,4.58894581427941,4.1518543775265035,-0.03479466826926606,26.822052152,25.297341,2.041971,63.31322
25,1000000,940,4.4799731706961605,4.075610336890588,-0.03449650742964318,33.190176104,33.650151,2.786133,85.822123
26,1040000,938,4.368822112450233,3.917451613682967,-0.030322804328000365,38.683349543999995,39.492117,17.448126,72.523593
27,1080000,937,4.25960503969437,3.793422173842406,-0.02633449629942427,44.947351,42.044949,17.087741,76.612467
28,1120000,935,4.156331680982541,3.6884460045741156,-0.026602007638958196,48.507187511999994,46.040439,5.551793,129.440978
29,1160000,934,4.066499723532261,4.02497822688176,-0.026496995822983593,55.301279519999994,52.799441,6.556029,104.022898
30,1200000,933,3.9729337411049084,4.048662041395138,-0.01782074700656547,58.261626824000004,53.854703,30.439339,134.390957
31,1240000,931,3.869991344671983,4.016594405663319,-0.019702449451403644,63.42321634400001,57.452897,32.658791,197.243432
32,1280000,930,3.7783194028414213,5.125924455202543,-0.020355509305057078,71.52282898399999,62.672615,34.602108,182.652271
33,1320000,929,3.6919624756544063,5.211448635199131,-0.023906775517202616,78.22299,69.345336,37.330503,262.702114
34,1360000,927,3.6096690801473765,5.877987957000732,-0.02275245071451093,85.476632056,74.694411,34.929302,284.198248
35,1400000,926,3.5132704423024106,6.082516853931622,-0.019176211343671104,86.21818256000002,77.045457,40.767577,233.594643
36,1440000,925,3.4148200994882827,5.5583024642406365,-0.021566463000094818,98.73058236799999,84.490405,47.497892,268.20914
37,1480000,924,3.316519489655128,5.853735737311534,-0.018471322025400767,106.74917078400001,92.328479,49.436872,466.2953
38,1520000,925,3.2067051068330423,5.90705631451729,-0.01954272382620566,116.88920266400004,94.079203,44.760803,807.113141
39,1560000,926,3.10068349532592,6.160575015116961,-0.0173772750842685,121.75880594399999,101.784124,48.021248,330.670538
40,1600000,927,2.9948407258742895,6.066367468467125,-0.016380774935961923,136.712139848,110.983625,54.739728,943.487463
41,1640000,928,2.8888521995299903,5.930104431127891,-0.014622171718038911,140.538647136,116.522718,53.032702,441.330127
42,1680000,929,2.7925758386269592,6.4540148435494835,-0.013509149340172418,155.7497862,119.071649,59.836796,532.823015
43,1720000,930,2.6897590783926155,6.024033693778209,-0.016205640762927943,191.74529542399995,148.703373,54.808736,1072.24686
44,1760000,931,2.590601694278228,6.075035882607485,-0.0153825152109792,194.329833128,156.540106,60.499968,686.514403
45,1800000,932,2.483206846163823,5.284911172817915,-0.01913651247305097,254.93304492,182.912748,65.385576,1201.552552
46,1840000,933,2.3888151615093918,5.105549837381412,-0.013659808220146284,345.34839444,220.424995,65.385576,1223.488808
47,1880000,933,2.2804994919361214,4.592238662487421,-0.017954095465262443,369.1163444800001,184.313447,70.424068,1237.01307
48,1920000,934,2.173131214044033,5.369838366141686,-0.007545729976174279,488.88214659199997,324.843663,69.061753,1257.295935
49,1960000,935,2.0564890754528533,4.699203206636967,-0.013033962202555417,610.0586815199998,431.607252,72.945983,1271.088961
50,2000000,935,1.9204743440334613,3.5021345355571847,-0.01867917376373673,612.6802964400001,473.455274,75.629389,1308.689557
51,2040000,936,1.7887980665916052,2.8441336741814247,-0.012565824530182186,604.8247327280002,370.230825,79.021972,1342.394505
52,2080000,935,1.6630164604920608,2.8339235104047336,-0.007843165367002932,745.745795408,843.672411,67.432296,1351.731973
53,2120000,934,1.5147189501004341,2.1045803092993225,-0.009510164795826243,955.026598352,1311.57745,67.432296,1379.359315
54,2160000,933,1.381340856735523,2.09201134122335,-0.014735078389271504,1013.955092944,1335.190191,67.432296,1401.755038
55,2200000,932,1.2236024948266837,1.8691441346437503,-0.012243734065440293,1074.5853687759998,1353.673222,91.407078,1407.292569
56,2240000,931,1.0792348904487414,1.8088975576254038,-0.013252421739460446,1101.3158697439999,1383.988822,86.465023,1438.417819
57,2280000,930,0.9318647308227344,1.356757394472758,-0.004425876346963028,1187.6101939680002,1402.986687,86.465023,1471.96932
58,2320000,929,0.8077835200688778,1.607237082032057,-0.012536282681237656,1223.5321836879998,1419.128076,86.465023,1483.534963
59,2360000,928,0.6634781441627404,1.358432389375491,-0.0024706247229075344,1276.8943237759997,1456.077913,128.941085,1521.085791
60,2400000,927,0.5246458972875888,1.309574173276241,-0.004274928490914858,1262.0680451520002,1471.805218,120.506151,1534.33826
61,2440000,926,0.3843233667123012,1.5373098474282485,-0.008939640946389259,1306.32201188,1495.959005,118.09532,1552.853152
62,2480000,926,0.24905711870927078,1.752735475699107,-0.006372642011019007,1284.7705237439995,1528.907812,103.036287,1590.319052
63,2520000,925,0.10822332624632579,1.4371274747909644,-0.00944271397721679,1271.560458456,1551.54861,103.036287,1598.287153
64,2560000,924,-0.05295107590559966,1.144224222501119,-0.010251262325842758,1327.760761048,1562.187132,121.655449,1630.253621
