iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,984,10.045662117004394,20.15233724422944,-0.02041776265866177,-45.895764624,-40.32407,-148.972837,-19.395574
2,80000,969,9.91056146866236,16.146880768506954,-0.022665860680139396,-42.47489076000001,-36.734192,-124.894734,-15.900285
3,120000,965,9.719780965951772,14.319115841694368,-0.035051327426425326,-37.542675927999994,-34.659479,-113.376344,-12.856528
4,160000,963,9.51597604507055,11.357366998379048,-0.041464873376818825,-28.514897048,-28.321954,-51.491297,-10.838835
5,200000,961,9.281560203356621,7.853046401341756,-0.034287264205378074,-24.543357752000002,-23.64699,-47.123292,-10.225478
6,240000,960,9.032918470333785,6.129355988135704,-0.037433239797209326,-21.869149048000008,-21.639598,-41.907827,-5.047609
7,280000,960,8.753759181193816,4.989186079074175,-0.04010921728779347,-20.212432864000004,-19.568402,-36.736538,-7.43612
8,320000,960,8.47536197075477,4.127806780888484,-0.03657429699453179,-17.377496647999994,-16.747073,-39.744577,-4.666299
9,360000,960,8.192264927350557,3.7046652879470434,-0.03700285279568888,-15.301406896000001,-14.748464,-31.101011,-1.873511
10,400000,959,7.910632755817511,3.4399895744445996,-0.043780480651334164,-12.729373575999999,-11.879655,-26.879664,-1.155578
11,440000,959,7.625915793883495,3.241347208389869,-0.042728287937587504,-10.815156104000001,-10.601148,-22.670622,0.075189
12,480000,959,7.3411657577905896,2.9801234037448197,-0.04386163871158481,-8.480350047999998,-8.783518,-18.797401,6.317507
13,520000,959,7.060708120541695,2.9663033233239102,-0.04822002821795953,-6.256756272,-6.430955,-20.157566,6.829072
14,560000,959,6.800315724886381,2.788641998401055,-0.045021472914810054,-2.8905752720000004,-2.661097,-17.864149,6.113137
15,600000,958,6.542017485545232,2.6785382506174917,-0.04499706519097508,-1.2456549280000002,-1.4254,-14.578359,12.915523
16,640000,957,6.29490032073779,2.382454785475364,-0.04700956804553686,1.0414563440000002,0.559478,-12.543705,13.63371
17,680000,957,6.068644865965232,2.320322845838009,-0.04544142838027396,2.9083780879999996,2.892732,-12.898804,11.276854
18,720000,957,5.84042408772004,2.150291319688161,-0.043141689339282516,5.348049840000001,5.565257,-7.012595,14.255672
