iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1206,10.156558653024527,1.3462008922527997,-0.018365540711620738,17.053826344,15.109503,5.039116,43.209655
2,80000,1155,10.11720954699394,2.017332877562596,-0.02693242767247564,20.735139191999995,18.472439,8.219518,83.023255
3,120000,1176,10.071862788078112,3.0288575838773677,-0.028508115350194155,22.891333367999998,21.281185,5.210654,60.946934
4,160000,1186,10.029875750419421,3.7094806454120537,-0.028517541761162845,30.201015104000003,28.755464,11.502457,71.509728
5,200000,1191,9.984363105969551,3.531948979084308,-0.028704993524260293,37.090061223999996,36.874582,10.669225,108.129629
6,240000,1184,9.927163067842141,4.019988339986557,-0.023613099038872556,43.45096916799999,39.594547,17.056458,125.883886
7,280000,1163,9.868530894548465,3.790026628665435,-0.02721631972886266,50.28027248799999,48.711079,6.904841,98.877042
8,320000,1167,9.810987978715163,3.8724912114632435,-0.02136919183480458,56.57823244000001,52.061724,23.958758,115.757991
9,360000,1172,9.753159919151893,3.7730966702485698,-0.02537307105645036,59.908614736,51.971455,24.588442,152.852837
10,400000,1177,9.698636035430125,4.186133676920182,-0.02489361438879241,63.62375285599999,55.883047,29.97778,222.357147
11,440000,1180,9.638470999399821,4.273964774302947,-0.025108719425528156,70.584439832,63.704234,22.247723,168.525576
12,480000,1182,9.58986672621507,4.525920244669303,-0.02459367472176195,70.95255268800001,58.663707,20.569437,242.1892
13,520000,1184,9.527063893049192,5.5907167333822985,-0.027355380309357386,80.649735568,72.439621,29.003816,239.606941
14,560000,1185,9.486727271935878,5.528738347077981,-0.022907483999696502,83.39292668,75.178795,25.806364,235.033228
15,600000,1187,9.437080043401474,6.816676060358684,-0.028309274756928716,96.53839325599999,76.144808,14.11658,295.609404
16,640000,1187,9.386468273554092,7.382917778308575,-0.023366221382419984,102.66789926400001,81.399593,30.234238,344.625846
17,680000,1183,9.330889114966759,7.54468745818505,-0.026507151313760403,122.609735576,104.435367,17.655744,352.187266
18,720000,1175,9.29487521342742,7.545506631411039,-0.024252728573852578,141.08486993600002,117.554047,21.605639,560.196605
19,760000,1170,9.251368642464662,7.801257238021264,-0.02835907317079872,166.08044559199996,139.212878,12.349313,532.405743
20,800000,1170,9.206694013644487,7.344446146182525,-0.0244018480711533,195.096692248,162.888413,44.428089,613.638216
21,840000,1171,9.16273727906056,7.0723756307210675,-0.024468331233966193,251.413648208,216.496434,36.615415,671.483023
22,880000,1169,9.117782541421743,7.768631822023636,-0.025186009088578525,261.616005832,223.920527,31.89891,659.93275
23,920000,1171,9.065708906222612,6.878887744438954,-0.025047489154199774,291.240585088,255.214105,31.89891,679.948383
24,960000,1163,9.009432738866561,5.106549680844331,-0.023478413497632106,354.81104896,307.175341,41.290944,680.179659
25,1000000,1159,8.959117170480582,5.498112435982778,-0.021235250170605305,400.12479578400007,397.422723,11.70335,680.179659
26,1040000,1159,8.90985740759434,4.7958904672891665,-0.02305526733749176,451.2757048239999,535.18671,11.70335,688.988106
27,1080000,1160,8.864002680167173,4.3312564843740216,-0.024086613696346876,456.2466155679999,526.476245,13.027555,701.118161
