/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_27__16_04_44__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_27__16_04_44__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_27__16_04_44__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1206, mean/median reward 17.1/15.1, min/max reward 5.0/43.2, entropy 10.16, value loss 1.35, policy loss -0.018
Updates 2, num timesteps 80000, FPS 1155, mean/median reward 20.7/18.5, min/max reward 8.2/83.0, entropy 10.12, value loss 2.02, policy loss -0.027
Updates 3, num timesteps 120000, FPS 1176, mean/median reward 22.9/21.3, min/max reward 5.2/60.9, entropy 10.07, value loss 3.03, policy loss -0.029
Updates 4, num timesteps 160000, FPS 1186, mean/median reward 30.2/28.8, min/max reward 11.5/71.5, entropy 10.03, value loss 3.71, policy loss -0.029
Updates 5, num timesteps 200000, FPS 1191, mean/median reward 37.1/36.9, min/max reward 10.7/108.1, entropy 9.98, value loss 3.53, policy loss -0.029
Updates 6, num timesteps 240000, FPS 1184, mean/median reward 43.5/39.6, min/max reward 17.1/125.9, entropy 9.93, value loss 4.02, policy loss -0.024
Updates 7, num timesteps 280000, FPS 1163, mean/median reward 50.3/48.7, min/max reward 6.9/98.9, entropy 9.87, value loss 3.79, policy loss -0.027
Updates 8, num timesteps 320000, FPS 1167, mean/median reward 56.6/52.1, min/max reward 24.0/115.8, entropy 9.81, value loss 3.87, policy loss -0.021
Updates 9, num timesteps 360000, FPS 1172, mean/median reward 59.9/52.0, min/max reward 24.6/152.9, entropy 9.75, value loss 3.77, policy loss -0.025
Updates 10, num timesteps 400000, FPS 1177, mean/median reward 63.6/55.9, min/max reward 30.0/222.4, entropy 9.70, value loss 4.19, policy loss -0.025
Updates 11, num timesteps 440000, FPS 1180, mean/median reward 70.6/63.7, min/max reward 22.2/168.5, entropy 9.64, value loss 4.27, policy loss -0.025
Updates 12, num timesteps 480000, FPS 1182, mean/median reward 71.0/58.7, min/max reward 20.6/242.2, entropy 9.59, value loss 4.53, policy loss -0.025
Updates 13, num timesteps 520000, FPS 1184, mean/median reward 80.6/72.4, min/max reward 29.0/239.6, entropy 9.53, value loss 5.59, policy loss -0.027
