iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1322,10.151152199965257,1.0323985495628454,-0.02117235527666008,14.179242383999997,13.285553,5.709527,42.663504
2,80000,1213,10.109062649653508,1.7339690217605004,-0.030400883066184364,17.000107088,15.393978,4.629658,40.306273
3,120000,1203,10.05541026042058,2.51174521507361,-0.03093620148190381,24.333138696,22.36,7.717748,66.024105
4,160000,1204,10.008442348088973,2.67381138251378,-0.029881006929178673,29.67662728,28.115036,8.300889,79.47503
5,200000,1205,9.95372180694189,2.6562241389201238,-0.02796587734494376,38.481677056,36.337008,8.318694,81.711609
6,240000,1205,9.899380207061768,2.597341949206132,-0.027864576035594488,40.731533856,37.256441,13.484965,99.797286
7,280000,1206,9.853315573472242,2.378818533053765,-0.026605506376094688,44.394251792,40.566842,11.343246,126.120761
8,320000,1206,9.800700747661102,2.738305248358311,-0.02614291339294794,49.289608888,46.597618,4.563454,115.999766
9,360000,1207,9.737077869513096,2.7450500066463763,-0.023470541140625592,50.818830248,46.52898,19.255713,126.14026
10,400000,1196,9.668602143801175,2.750311522300427,-0.027190539822018203,53.958876192,48.866569,12.740114,110.203008
11,440000,1197,9.611582712026744,3.0001950007218583,-0.025206993683110714,63.69252976800001,59.287405,17.03695,174.130162
12,480000,1198,9.550423590342204,3.500569409590501,-0.02595630002264769,65.54342168,56.555385,14.136684,155.592993
13,520000,1199,9.49373359191112,3.50488462753785,-0.02861535874962544,70.6860192,60.58786,18.770882,241.193914
14,560000,1187,9.435740030728853,4.233236482204535,-0.028347841736402375,82.67644885600001,75.157866,20.165623,248.513189
15,600000,1179,9.382306375259008,4.143541905818841,-0.025948229456601742,86.78749583999999,86.04761,16.278518,184.480782
16,640000,1174,9.33332247367272,4.406963281753736,-0.02655117026527081,106.51138500799999,97.979234,25.169601,347.939914
17,680000,1173,9.278456930013803,4.749323946390397,-0.026187582033908724,107.599636624,104.773361,26.900069,275.269545
18,720000,1170,9.229794291960888,4.339426437708048,-0.026480592655477662,119.44830158399999,112.965678,21.081526,344.497226
19,760000,1166,9.178868320660714,4.77598467698464,-0.026558870414625676,136.16412598399998,111.688774,28.857396,395.111028
20,800000,1167,9.125517752231696,3.677551570916787,-0.02934627889811124,159.35751464799995,131.785658,34.449129,519.421239
21,840000,1164,9.076704541230812,4.290456586923355,-0.025450077957252806,218.024005024,171.969191,42.642207,525.28895
22,880000,1162,9.024993615272718,3.7901694945799997,-0.02698270933154466,268.43954304799996,246.458947,31.147066,525.28895
23,920000,1158,8.96868172670022,4.126095820695926,-0.025075150298727797,272.829054336,215.427138,33.707182,537.937265
24,960000,1156,8.911294834430402,3.443211215887314,-0.025173256840767304,274.24913888000003,223.469122,33.707182,539.440428
25,1000000,1154,8.854270648956298,3.1466601414558215,-0.022098393986323992,310.67669077600004,301.841514,34.629753,561.292274
26,1040000,1155,8.793314046126145,3.558168147160457,-0.024504134561553096,340.8903062160001,339.262154,37.314378,570.240292
27,1080000,1156,8.731861738058237,2.706334755359552,-0.021915642897042394,383.3248649919999,439.370179,43.069134,577.09799
