iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,1004,10.138991363231952,0.9435522782496917,-0.022856316978765952,12.643468343999999,10.909058,3.356728,28.938675
2,80000,975,10.085404980488313,1.5504039868330344,-0.0310540944533736,15.621331232000001,13.938147,3.893107,35.628355
3,120000,965,10.022003601758907,2.05097739146306,-0.03090414278252492,21.848263111999998,20.307423,6.901263,48.344139
4,160000,961,9.951006703499036,2.2282557860398904,-0.031742945608335175,27.23478744,25.210437,5.474856,67.431299
5,200000,958,9.873658857590113,2.2462001607968256,-0.029410958146390605,30.512650247999996,29.195567,6.1884,58.290861
6,240000,955,9.7982591066605,2.2306781732119045,-0.029534116361957366,35.115932336,32.920354,8.240365,98.655645
7,280000,953,9.714603032821264,2.2000439680539645,-0.02487526302120853,39.300666959999994,38.278003,13.680663,73.392966
8,320000,952,9.637938228020301,2.344364147919875,-0.026470755888835695,41.549875271999994,39.229629,3.138041,83.224127
9,360000,952,9.559962876637776,2.309816882854853,-0.026688095798995046,44.026018872,42.932793,21.009115,84.827335
10,400000,951,9.495853441189498,2.2531442147034864,-0.027729497092943162,48.35461184,44.635618,25.915151,138.462372
11,440000,950,9.42625947609926,2.513344971338908,-0.026048669653876762,53.099234472,49.421173,14.158644,125.438179
12,480000,949,9.354720230591603,2.818280104796092,-0.024911040812730788,52.659878744,49.443346,19.035071,135.735186
13,520000,949,9.291432679005158,2.6257987370857827,-0.026761808818348352,63.523309456,55.279274,27.038438,204.557905
14,560000,948,9.228664224575727,2.940134887206249,-0.02621129134686504,68.863209992,61.382165,20.79179,209.328033
15,600000,946,9.160770257314047,3.3585856125904963,-0.027295107938717148,71.22401948000001,62.119039,32.827695,203.451118
16,640000,947,9.094936913710374,3.5760314993369273,-0.02676874985549241,75.72059768,68.122379,28.373762,233.790578
17,680000,948,9.042891226059352,3.492443064542917,-0.02955989381387973,86.712223456,75.741065,33.413635,263.16867
18,720000,949,8.991225330646222,3.5140177809275115,-0.030884491276922815,94.241750904,80.133347,19.049799,276.008529
19,760000,950,8.941649126395202,3.3594530512125065,-0.029141159286052407,101.415105008,91.809612,38.34881,268.717823
20,800000,950,8.878461541884985,3.573605103370471,-0.029216360013957363,105.57227756,96.163512,35.768048,352.081635
21,840000,951,8.810678621438834,3.74752134176401,-0.030270446043980954,119.68977118399998,110.55542,41.027245,421.838189
22,880000,952,8.759233834193303,3.6250051137728567,-0.029245203908169808,148.27585627200003,119.953069,34.764277,429.944294
23,920000,952,8.71532897215623,3.8542777095085534,-0.028913583209326205,156.90467815199997,136.774607,29.705246,452.348319
24,960000,952,8.667058621920072,3.4824216261888163,-0.02774090263268975,177.84634320799998,155.263968,37.9348,506.935635
25,1000000,953,8.619195957672902,3.07933223369794,-0.026727623269256675,188.311811504,151.971423,30.718329,514.481974
26,1040000,953,8.55455856812306,2.803265103010031,-0.024421598602948975,232.98046613600002,188.833845,30.718329,520.568046
27,1080000,953,8.51280091603597,2.9519048186448904,-0.029197263606543764,297.563402496,308.498238,46.971365,523.824431
28,1120000,954,8.461564399034549,2.8499883654790046,-0.024006313206738038,312.931732432,316.428676,37.814859,523.824431
29,1160000,954,8.424141720013742,2.833377993412507,-0.027090020006327018,312.1012587679999,292.620537,37.814859,530.142477
