/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_27__23_06_11__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_27__23_06_11__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_27__23_06_11__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1004, mean/median reward 12.6/10.9, min/max reward 3.4/28.9, entropy 10.14, value loss 0.94, policy loss -0.023
Updates 2, num timesteps 80000, FPS 975, mean/median reward 15.6/13.9, min/max reward 3.9/35.6, entropy 10.09, value loss 1.55, policy loss -0.031
Updates 3, num timesteps 120000, FPS 965, mean/median reward 21.8/20.3, min/max reward 6.9/48.3, entropy 10.02, value loss 2.05, policy loss -0.031
Updates 4, num timesteps 160000, FPS 961, mean/median reward 27.2/25.2, min/max reward 5.5/67.4, entropy 9.95, value loss 2.23, policy loss -0.032
Updates 5, num timesteps 200000, FPS 958, mean/median reward 30.5/29.2, min/max reward 6.2/58.3, entropy 9.87, value loss 2.25, policy loss -0.029
Updates 6, num timesteps 240000, FPS 955, mean/median reward 35.1/32.9, min/max reward 8.2/98.7, entropy 9.80, value loss 2.23, policy loss -0.030
Updates 7, num timesteps 280000, FPS 953, mean/median reward 39.3/38.3, min/max reward 13.7/73.4, entropy 9.71, value loss 2.20, policy loss -0.025
Updates 8, num timesteps 320000, FPS 952, mean/median reward 41.5/39.2, min/max reward 3.1/83.2, entropy 9.64, value loss 2.34, policy loss -0.026
Updates 9, num timesteps 360000, FPS 952, mean/median reward 44.0/42.9, min/max reward 21.0/84.8, entropy 9.56, value loss 2.31, policy loss -0.027
Updates 10, num timesteps 400000, FPS 951, mean/median reward 48.4/44.6, min/max reward 25.9/138.5, entropy 9.50, value loss 2.25, policy loss -0.028
Updates 11, num timesteps 440000, FPS 950, mean/median reward 53.1/49.4, min/max reward 14.2/125.4, entropy 9.43, value loss 2.51, policy loss -0.026
Updates 12, num timesteps 480000, FPS 949, mean/median reward 52.7/49.4, min/max reward 19.0/135.7, entropy 9.35, value loss 2.82, policy loss -0.025
Updates 13, num timesteps 520000, FPS 949, mean/median reward 63.5/55.3, min/max reward 27.0/204.6, entropy 9.29, value loss 2.63, policy loss -0.027
Updates 14, num timesteps 560000, FPS 948, mean/median reward 68.9/61.4, min/max reward 20.8/209.3, entropy 9.23, value loss 2.94, policy loss -0.026
Updates 15, num timesteps 600000, FPS 946, mean/median reward 71.2/62.1, min/max reward 32.8/203.5, entropy 9.16, value loss 3.36, policy loss -0.027
Updates 16, num timesteps 640000, FPS 947, mean/median reward 75.7/68.1, min/max reward 28.4/233.8, entropy 9.09, value loss 3.58, policy loss -0.027
Updates 17, num timesteps 680000, FPS 948, mean/median reward 86.7/75.7, min/max reward 33.4/263.2, entropy 9.04, value loss 3.49, policy loss -0.030
Updates 18, num timesteps 720000, FPS 949, mean/median reward 94.2/80.1, min/max reward 19.0/276.0, entropy 8.99, value loss 3.51, policy loss -0.031
Updates 19, num timesteps 760000, FPS 950, mean/median reward 101.4/91.8, min/max reward 38.3/268.7, entropy 8.94, value loss 3.36, policy loss -0.029
Updates 20, num timesteps 800000, FPS 950, mean/median reward 105.6/96.2, min/max reward 35.8/352.1, entropy 8.88, value loss 3.57, policy loss -0.029
Updates 21, num timesteps 840000, FPS 951, mean/median reward 119.7/110.6, min/max reward 41.0/421.8, entropy 8.81, value loss 3.75, policy loss -0.030
Updates 22, num timesteps 880000, FPS 952, mean/median reward 148.3/120.0, min/max reward 34.8/429.9, entropy 8.76, value loss 3.63, policy loss -0.029
Updates 23, num timesteps 920000, FPS 952, mean/median reward 156.9/136.8, min/max reward 29.7/452.3, entropy 8.72, value loss 3.85, policy loss -0.029
Updates 24, num timesteps 960000, FPS 952, mean/median reward 177.8/155.3, min/max reward 37.9/506.9, entropy 8.67, value loss 3.48, policy loss -0.028
Updates 25, num timesteps 1000000, FPS 953, mean/median reward 188.3/152.0, min/max reward 30.7/514.5, entropy 8.62, value loss 3.08, policy loss -0.027
Updates 26, num timesteps 1040000, FPS 953, mean/median reward 233.0/188.8, min/max reward 30.7/520.6, entropy 8.55, value loss 2.80, policy loss -0.024
Updates 27, num timesteps 1080000, FPS 953, mean/median reward 297.6/308.5, min/max reward 47.0/523.8, entropy 8.51, value loss 2.95, policy loss -0.029
Updates 28, num timesteps 1120000, FPS 954, mean/median reward 312.9/316.4, min/max reward 37.8/523.8, entropy 8.46, value loss 2.85, policy loss -0.024
Updates 29, num timesteps 1160000, FPS 954, mean/median reward 312.1/292.6, min/max reward 37.8/530.1, entropy 8.42, value loss 2.83, policy loss -0.027
Updates 30, num timesteps 1200000, FPS 954, mean/median reward 353.3/392.3, min/max reward 38.7/541.6, entropy 8.38, value loss 2.92, policy loss -0.030
Updates 31, num timesteps 1240000, FPS 954, mean/median reward 351.5/392.2, min/max reward 39.9/549.7, entropy 8.32, value loss 3.09, policy loss -0.028
Updates 32, num timesteps 1280000, FPS 954, mean/median reward 342.9/359.5, min/max reward 39.9/555.4, entropy 8.25, value loss 2.76, policy loss -0.026
Updates 33, num timesteps 1320000, FPS 954, mean/median reward 361.8/405.0, min/max reward 37.4/556.2, entropy 8.20, value loss 3.03, policy loss -0.027
Updates 34, num timesteps 1360000, FPS 955, mean/median reward 408.0/506.6, min/max reward 37.4/560.7, entropy 8.14, value loss 2.67, policy loss -0.027
Updates 35, num timesteps 1400000, FPS 955, mean/median reward 429.0/526.0, min/max reward 47.0/571.9, entropy 8.09, value loss 2.43, policy loss -0.028
Updates 36, num timesteps 1440000, FPS 955, mean/median reward 444.9/542.0, min/max reward 47.0/586.7, entropy 8.04, value loss 2.11, policy loss -0.027
Updates 37, num timesteps 1480000, FPS 955, mean/median reward 440.6/542.0, min/max reward 68.9/586.7, entropy 7.99, value loss 2.33, policy loss -0.026
Updates 38, num timesteps 1520000, FPS 955, mean/median reward 449.4/547.9, min/max reward 64.3/594.3, entropy 7.93, value loss 1.78, policy loss -0.026
Updates 39, num timesteps 1560000, FPS 955, mean/median reward 471.0/552.9, min/max reward 64.3/594.3, entropy 7.87, value loss 2.23, policy loss -0.024
Updates 40, num timesteps 1600000, FPS 955, mean/median reward 486.2/559.6, min/max reward 64.3/616.8, entropy 7.80, value loss 1.99, policy loss -0.030
Updates 41, num timesteps 1640000, FPS 955, mean/median reward 474.9/561.5, min/max reward 40.5/616.8, entropy 7.74, value loss 1.98, policy loss -0.029
Updates 42, num timesteps 1680000, FPS 955, mean/median reward 489.3/565.8, min/max reward 40.5/625.1, entropy 7.68, value loss 2.16, policy loss -0.027
Updates 43, num timesteps 1720000, FPS 955, mean/median reward 495.2/575.6, min/max reward 40.5/625.1, entropy 7.61, value loss 1.65, policy loss -0.026
Updates 44, num timesteps 1760000, FPS 955, mean/median reward 524.4/590.9, min/max reward 67.6/635.3, entropy 7.56, value loss 1.56, policy loss -0.021
Updates 45, num timesteps 1800000, FPS 955, mean/median reward 539.2/597.8, min/max reward 67.6/635.3, entropy 7.51, value loss 1.75, policy loss -0.028
Updates 46, num timesteps 1840000, FPS 955, mean/median reward 547.9/604.6, min/max reward 67.6/639.7, entropy 7.45, value loss 1.55, policy loss -0.023
Updates 47, num timesteps 1880000, FPS 955, mean/median reward 565.2/607.2, min/max reward 41.5/647.7, entropy 7.39, value loss 1.58, policy loss -0.025
Updates 48, num timesteps 1920000, FPS 955, mean/median reward 579.4/616.9, min/max reward 41.5/651.2, entropy 7.33, value loss 1.40, policy loss -0.023
Updates 49, num timesteps 1960000, FPS 955, mean/median reward 581.9/623.3, min/max reward 41.5/655.7, entropy 7.27, value loss 1.33, policy loss -0.019
Updates 50, num timesteps 2000000, FPS 955, mean/median reward 579.6/626.6, min/max reward 51.6/667.5, entropy 7.22, value loss 1.48, policy loss -0.025
Updates 51, num timesteps 2040000, FPS 955, mean/median reward 571.1/632.4, min/max reward 51.6/668.8, entropy 7.15, value loss 1.22, policy loss -0.023
Updates 52, num timesteps 2080000, FPS 955, mean/median reward 581.0/636.6, min/max reward 51.6/668.8, entropy 7.09, value loss 1.27, policy loss -0.024
Updates 53, num timesteps 2120000, FPS 955, mean/median reward 597.7/641.1, min/max reward 54.2/673.5, entropy 7.03, value loss 1.31, policy loss -0.026
Updates 54, num timesteps 2160000, FPS 955, mean/median reward 618.6/646.8, min/max reward 54.2/680.2, entropy 6.97, value loss 1.31, policy loss -0.019
Updates 55, num timesteps 2200000, FPS 955, mean/median reward 621.7/649.7, min/max reward 54.2/680.2, entropy 6.91, value loss 1.20, policy loss -0.023
Updates 56, num timesteps 2240000, FPS 955, mean/median reward 629.9/655.8, min/max reward 64.0/700.5, entropy 6.85, value loss 1.24, policy loss -0.022
Updates 57, num timesteps 2280000, FPS 956, mean/median reward 623.9/663.8, min/max reward 56.5/700.5, entropy 6.79, value loss 1.17, policy loss -0.027
Updates 58, num timesteps 2320000, FPS 956, mean/median reward 624.7/666.1, min/max reward 56.5/700.5, entropy 6.73, value loss 1.22, policy loss -0.024
Updates 59, num timesteps 2360000, FPS 956, mean/median reward 626.9/672.7, min/max reward 51.0/710.6, entropy 6.68, value loss 1.27, policy loss -0.022
Updates 60, num timesteps 2400000, FPS 956, mean/median reward 636.5/675.2, min/max reward 51.0/713.6, entropy 6.62, value loss 1.18, policy loss -0.024
Updates 61, num timesteps 2440000, FPS 955, mean/median reward 636.3/680.1, min/max reward 51.0/713.6, entropy 6.56, value loss 1.27, policy loss -0.024
Updates 62, num timesteps 2480000, FPS 944, mean/median reward 646.6/686.0, min/max reward 82.5/715.2, entropy 6.50, value loss 1.40, policy loss -0.029
Updates 63, num timesteps 2520000, FPS 944, mean/median reward 652.0/692.5, min/max reward 82.5/718.7, entropy 6.44, value loss 1.24, policy loss -0.026
Updates 64, num timesteps 2560000, FPS 944, mean/median reward 662.5/694.5, min/max reward 126.3/729.3, entropy 6.40, value loss 1.34, policy loss -0.025
Updates 65, num timesteps 2600000, FPS 944, mean/median reward 672.2/698.0, min/max reward 126.3/729.3, entropy 6.33, value loss 1.30, policy loss -0.023
Updates 66, num timesteps 2640000, FPS 944, mean/median reward 673.5/700.7, min/max reward 129.5/729.3, entropy 6.27, value loss 1.09, policy loss -0.022
Updates 67, num timesteps 2680000, FPS 944, mean/median reward 680.1/702.6, min/max reward 129.5/735.3, entropy 6.22, value loss 1.15, policy loss -0.022
Updates 68, num timesteps 2720000, FPS 944, mean/median reward 677.0/707.5, min/max reward 73.8/746.6, entropy 6.16, value loss 1.13, policy loss -0.023
Updates 69, num timesteps 2760000, FPS 944, mean/median reward 685.0/710.6, min/max reward 73.8/746.6, entropy 6.10, value loss 1.03, policy loss -0.023
Updates 70, num timesteps 2800000, FPS 944, mean/median reward 683.8/712.8, min/max reward 73.8/746.6, entropy 6.04, value loss 1.01, policy loss -0.024
Updates 71, num timesteps 2840000, FPS 944, mean/median reward 688.9/714.7, min/max reward 113.8/742.8, entropy 5.99, value loss 1.14, policy loss -0.021
Updates 72, num timesteps 2880000, FPS 944, mean/median reward 695.2/720.2, min/max reward 129.6/748.0, entropy 5.92, value loss 0.98, policy loss -0.022
Updates 73, num timesteps 2920000, FPS 943, mean/median reward 697.0/722.8, min/max reward 63.7/748.8, entropy 5.87, value loss 1.21, policy loss -0.023
Updates 74, num timesteps 2960000, FPS 943, mean/median reward 699.6/727.0, min/max reward 63.7/759.2, entropy 5.82, value loss 0.85, policy loss -0.015
Updates 75, num timesteps 3000000, FPS 943, mean/median reward 706.7/731.1, min/max reward 63.7/759.2, entropy 5.77, value loss 0.76, policy loss -0.018
Updates 76, num timesteps 3040000, FPS 943, mean/median reward 717.7/732.6, min/max reward 70.2/759.5, entropy 5.72, value loss 0.71, policy loss -0.022
Updates 77, num timesteps 3080000, FPS 943, mean/median reward 723.2/733.3, min/max reward 84.8/763.4, entropy 5.66, value loss 0.86, policy loss -0.017
Updates 78, num timesteps 3120000, FPS 943, mean/median reward 717.5/735.0, min/max reward 84.8/763.4, entropy 5.61, value loss 0.93, policy loss -0.024
