iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,971,10.122579356951592,0.8782963367608877,-0.018871279630529432,12.671850295999999,11.532298,4.07471,42.182007
2,80000,939,10.07345877916385,1.377922905408419,-0.030158102302215037,15.072946608,13.348485,3.704927,43.034687
3,120000,729,10.01084769322322,1.88152879461264,-0.029516047063225415,20.313892424000002,20.130689,6.516082,45.680851
4,160000,748,9.947589859595666,2.0461644377463903,-0.031962375888356175,26.417670048000005,25.958506,5.781005,55.447389
5,200000,773,9.882552890288524,2.006900647970346,-0.027654231867218652,29.001669304000004,28.549126,8.297322,69.633581
6,240000,783,9.813093679379195,2.035831868648529,-0.025939114020272824,34.02163892,32.938819,6.049425,93.635913
7,280000,789,9.748756814614321,1.9024023459507868,-0.029112508952153476,34.77012236799999,33.265051,14.496584,75.898037
8,320000,788,9.682629771110339,2.0730108169408945,-0.02737570251166546,40.265720136,39.220237,15.681918,85.354932
9,360000,800,9.616532359979091,2.2994965978157826,-0.028432114543848468,44.14473262400001,41.855945,11.522105,123.976691
10,400000,813,9.560757228655692,2.4357022798978365,-0.028921065608021587,49.68211703200001,47.705521,17.33726,128.098016
11,440000,824,9.504748845711733,2.487729019079453,-0.026830038368307912,50.734060840000005,48.074916,5.800104,137.492075
12,480000,837,9.456469851273757,2.6806164399171486,-0.025814712756802038,59.426635768000004,54.407925,19.980387,135.320825
13,520000,848,9.388143514975523,2.912721288815523,-0.03075675253286392,63.23093510400001,53.528941,7.714107,186.259959
14,560000,858,9.329783667050876,2.8136074940363565,-0.02954121252599483,74.460121392,68.443527,20.405519,201.457934
15,600000,865,9.263799322568453,3.2928676608281258,-0.02917868494808387,79.66280910399999,66.742222,24.153658,258.129988
16,640000,867,9.203809752831091,3.166332019598056,-0.033100205060178176,85.27027533600003,72.053979,22.555374,200.077603
17,680000,866,9.138347104879527,3.1760410834581423,-0.029090785235800862,99.67431750399997,89.714414,23.308642,317.603035
18,720000,869,9.085430299318753,3.3748920767735213,-0.029179805841816304,107.86124592,87.644846,25.075316,474.377041
19,760000,873,9.025172715309338,3.413565762532063,-0.029796080674173143,116.97485836799999,101.283096,27.774376,438.6223
20,800000,868,8.963420342176388,2.880866459088448,-0.03064927152663586,130.251306824,106.649218,28.471033,438.6223
21,840000,872,8.905704735486935,2.9609592265043503,-0.02650398628553399,172.628761352,148.389223,33.393336,499.741013
22,880000,875,8.848606650034586,2.4310295914992306,-0.027542676779082214,201.78803928000005,175.167001,22.579276,477.549029
23,920000,875,8.784822522676908,2.4340647417765395,-0.026224539266863408,244.139162032,212.869936,31.391978,484.302353
24,960000,879,8.714445507832062,1.950277282182987,-0.02883640005553062,280.718288872,262.559793,31.391978,490.876853
25,1000000,882,8.660525454007661,1.6799265007177988,-0.021090117393284275,296.49990161600005,295.981839,29.726678,499.622229
26,1040000,882,8.613907994979467,1.548735905992679,-0.023081231653766455,329.677666232,382.546777,29.726678,503.521008
27,1080000,881,8.562271553430802,1.5564328101965097,-0.023386753904961574,363.648425968,455.880473,33.225033,503.521008
28,1120000,882,8.508041271796593,1.6827435785379166,-0.025940648316501235,368.398559072,464.986886,31.345128,511.378714
29,1160000,884,8.452718257904053,2.0767280199588876,-0.025047147702449972,357.9886769839999,466.941469,29.039301,537.273931
30,1200000,883,8.390955746479523,2.0423158084734894,-0.02865651329667367,368.00857984000004,472.6258,29.039301,537.273931
31,1240000,867,8.339573967762483,1.993790083970779,-0.025832890283102945,366.27263341599996,483.56532,36.796297,530.870403
32,1280000,865,8.287869849571814,2.231215974612114,-0.02673478924648057,374.51001152,487.995014,36.796297,530.870403
33,1320000,873,8.226465205657176,2.203774149601276,-0.029585450949469724,380.1878092,488.404262,32.098932,553.64015
34,1360000,878,8.160882839789757,1.861754473661765,-0.027916176663263917,397.7440676319999,510.518624,32.098932,553.64015
35,1400000,883,8.096251204074957,1.6287516998939024,-0.02517154234974908,406.83528892,513.409865,32.098932,572.079856
36,1440000,889,8.035989026534251,1.7563441836681122,-0.024448958084487972,450.6688573200001,526.042713,38.837948,572.079856
37,1480000,895,7.979316661296747,2.0329336097607245,-0.024808836635836485,450.37752376,530.606416,42.350837,576.202807
38,1520000,901,7.9345857718052,1.75153468419344,-0.02196070337690449,442.87316947200003,534.438476,46.118229,577.042125
39,1560000,907,7.868954351620796,1.9287950364442972,-0.02470251077389455,451.828460248,538.810016,46.118229,577.042125
40,1600000,913,7.8139517637399525,1.525672371723713,-0.022729569212130558,461.70279958400005,547.904269,46.118229,589.886169
41,1640000,918,7.751181941154676,1.362643785889332,-0.02453049024113727,489.52875146400004,558.707073,56.594953,592.920745
42,1680000,919,7.679698698337262,1.170736086062896,-0.02713532035029344,497.97043080800006,564.704678,56.594953,607.067917
43,1720000,920,7.623291085316585,1.6695432589604304,-0.023388929441474225,483.66141719200004,570.783656,66.164234,607.067917
44,1760000,920,7.550059608312753,1.467742839684853,-0.020658943441268115,497.42219291199996,582.651423,66.84661,620.808364
45,1800000,920,7.487119870308118,1.5244763846580798,-0.023676223443931704,508.11348780800006,589.184342,63.575392,630.964457
46,1840000,921,7.41649453823383,1.4828789932605548,-0.024586714838500112,519.7068776,593.840793,63.575392,630.964457
47,1880000,921,7.3501765067760765,1.3868285366357902,-0.02349449196480213,552.6029746480001,602.30185,63.575392,632.592927
48,1920000,922,7.284037965383285,1.0158553703855246,-0.020279335814279292,574.9667727679999,609.622075,73.316535,644.258424
49,1960000,922,7.220911857409355,1.319865970657422,-0.018385026389669525,583.3305250880001,613.872926,89.556917,647.018956
50,2000000,922,7.154943183752207,1.3752079393619145,-0.021247791754919886,567.3838889440001,620.937305,84.217189,661.437865
51,2040000,922,7.088925596383902,1.4028175068971438,-0.022500771416982902,565.9845696400001,623.585668,80.303292,661.437865
