/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_28__09_08_11__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_28__09_08_11__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_28__09_08_11__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 971, mean/median reward 12.7/11.5, min/max reward 4.1/42.2, entropy 10.12, value loss 0.88, policy loss -0.019
Updates 2, num timesteps 80000, FPS 939, mean/median reward 15.1/13.3, min/max reward 3.7/43.0, entropy 10.07, value loss 1.38, policy loss -0.030
Updates 3, num timesteps 120000, FPS 729, mean/median reward 20.3/20.1, min/max reward 6.5/45.7, entropy 10.01, value loss 1.88, policy loss -0.030
Updates 4, num timesteps 160000, FPS 748, mean/median reward 26.4/26.0, min/max reward 5.8/55.4, entropy 9.95, value loss 2.05, policy loss -0.032
Updates 5, num timesteps 200000, FPS 773, mean/median reward 29.0/28.5, min/max reward 8.3/69.6, entropy 9.88, value loss 2.01, policy loss -0.028
Updates 6, num timesteps 240000, FPS 783, mean/median reward 34.0/32.9, min/max reward 6.0/93.6, entropy 9.81, value loss 2.04, policy loss -0.026
Updates 7, num timesteps 280000, FPS 789, mean/median reward 34.8/33.3, min/max reward 14.5/75.9, entropy 9.75, value loss 1.90, policy loss -0.029
Updates 8, num timesteps 320000, FPS 788, mean/median reward 40.3/39.2, min/max reward 15.7/85.4, entropy 9.68, value loss 2.07, policy loss -0.027
Updates 9, num timesteps 360000, FPS 800, mean/median reward 44.1/41.9, min/max reward 11.5/124.0, entropy 9.62, value loss 2.30, policy loss -0.028
Updates 10, num timesteps 400000, FPS 813, mean/median reward 49.7/47.7, min/max reward 17.3/128.1, entropy 9.56, value loss 2.44, policy loss -0.029
Updates 11, num timesteps 440000, FPS 824, mean/median reward 50.7/48.1, min/max reward 5.8/137.5, entropy 9.50, value loss 2.49, policy loss -0.027
Updates 12, num timesteps 480000, FPS 837, mean/median reward 59.4/54.4, min/max reward 20.0/135.3, entropy 9.46, value loss 2.68, policy loss -0.026
Updates 13, num timesteps 520000, FPS 848, mean/median reward 63.2/53.5, min/max reward 7.7/186.3, entropy 9.39, value loss 2.91, policy loss -0.031
Updates 14, num timesteps 560000, FPS 858, mean/median reward 74.5/68.4, min/max reward 20.4/201.5, entropy 9.33, value loss 2.81, policy loss -0.030
Updates 15, num timesteps 600000, FPS 865, mean/median reward 79.7/66.7, min/max reward 24.2/258.1, entropy 9.26, value loss 3.29, policy loss -0.029
Updates 16, num timesteps 640000, FPS 867, mean/median reward 85.3/72.1, min/max reward 22.6/200.1, entropy 9.20, value loss 3.17, policy loss -0.033
Updates 17, num timesteps 680000, FPS 866, mean/median reward 99.7/89.7, min/max reward 23.3/317.6, entropy 9.14, value loss 3.18, policy loss -0.029
Updates 18, num timesteps 720000, FPS 869, mean/median reward 107.9/87.6, min/max reward 25.1/474.4, entropy 9.09, value loss 3.37, policy loss -0.029
Updates 19, num timesteps 760000, FPS 873, mean/median reward 117.0/101.3, min/max reward 27.8/438.6, entropy 9.03, value loss 3.41, policy loss -0.030
Updates 20, num timesteps 800000, FPS 868, mean/median reward 130.3/106.6, min/max reward 28.5/438.6, entropy 8.96, value loss 2.88, policy loss -0.031
Updates 21, num timesteps 840000, FPS 872, mean/median reward 172.6/148.4, min/max reward 33.4/499.7, entropy 8.91, value loss 2.96, policy loss -0.027
Updates 22, num timesteps 880000, FPS 875, mean/median reward 201.8/175.2, min/max reward 22.6/477.5, entropy 8.85, value loss 2.43, policy loss -0.028
Updates 23, num timesteps 920000, FPS 875, mean/median reward 244.1/212.9, min/max reward 31.4/484.3, entropy 8.78, value loss 2.43, policy loss -0.026
Updates 24, num timesteps 960000, FPS 879, mean/median reward 280.7/262.6, min/max reward 31.4/490.9, entropy 8.71, value loss 1.95, policy loss -0.029
Updates 25, num timesteps 1000000, FPS 882, mean/median reward 296.5/296.0, min/max reward 29.7/499.6, entropy 8.66, value loss 1.68, policy loss -0.021
Updates 26, num timesteps 1040000, FPS 882, mean/median reward 329.7/382.5, min/max reward 29.7/503.5, entropy 8.61, value loss 1.55, policy loss -0.023
Updates 27, num timesteps 1080000, FPS 881, mean/median reward 363.6/455.9, min/max reward 33.2/503.5, entropy 8.56, value loss 1.56, policy loss -0.023
Updates 28, num timesteps 1120000, FPS 882, mean/median reward 368.4/465.0, min/max reward 31.3/511.4, entropy 8.51, value loss 1.68, policy loss -0.026
Updates 29, num timesteps 1160000, FPS 884, mean/median reward 358.0/466.9, min/max reward 29.0/537.3, entropy 8.45, value loss 2.08, policy loss -0.025
Updates 30, num timesteps 1200000, FPS 883, mean/median reward 368.0/472.6, min/max reward 29.0/537.3, entropy 8.39, value loss 2.04, policy loss -0.029
Updates 31, num timesteps 1240000, FPS 867, mean/median reward 366.3/483.6, min/max reward 36.8/530.9, entropy 8.34, value loss 1.99, policy loss -0.026
Updates 32, num timesteps 1280000, FPS 865, mean/median reward 374.5/488.0, min/max reward 36.8/530.9, entropy 8.29, value loss 2.23, policy loss -0.027
Updates 33, num timesteps 1320000, FPS 873, mean/median reward 380.2/488.4, min/max reward 32.1/553.6, entropy 8.23, value loss 2.20, policy loss -0.030
Updates 34, num timesteps 1360000, FPS 878, mean/median reward 397.7/510.5, min/max reward 32.1/553.6, entropy 8.16, value loss 1.86, policy loss -0.028
Updates 35, num timesteps 1400000, FPS 883, mean/median reward 406.8/513.4, min/max reward 32.1/572.1, entropy 8.10, value loss 1.63, policy loss -0.025
Updates 36, num timesteps 1440000, FPS 889, mean/median reward 450.7/526.0, min/max reward 38.8/572.1, entropy 8.04, value loss 1.76, policy loss -0.024
Updates 37, num timesteps 1480000, FPS 895, mean/median reward 450.4/530.6, min/max reward 42.4/576.2, entropy 7.98, value loss 2.03, policy loss -0.025
Updates 38, num timesteps 1520000, FPS 901, mean/median reward 442.9/534.4, min/max reward 46.1/577.0, entropy 7.93, value loss 1.75, policy loss -0.022
Updates 39, num timesteps 1560000, FPS 907, mean/median reward 451.8/538.8, min/max reward 46.1/577.0, entropy 7.87, value loss 1.93, policy loss -0.025
Updates 40, num timesteps 1600000, FPS 913, mean/median reward 461.7/547.9, min/max reward 46.1/589.9, entropy 7.81, value loss 1.53, policy loss -0.023
Updates 41, num timesteps 1640000, FPS 918, mean/median reward 489.5/558.7, min/max reward 56.6/592.9, entropy 7.75, value loss 1.36, policy loss -0.025
Updates 42, num timesteps 1680000, FPS 919, mean/median reward 498.0/564.7, min/max reward 56.6/607.1, entropy 7.68, value loss 1.17, policy loss -0.027
Updates 43, num timesteps 1720000, FPS 920, mean/median reward 483.7/570.8, min/max reward 66.2/607.1, entropy 7.62, value loss 1.67, policy loss -0.023
Updates 44, num timesteps 1760000, FPS 920, mean/median reward 497.4/582.7, min/max reward 66.8/620.8, entropy 7.55, value loss 1.47, policy loss -0.021
Updates 45, num timesteps 1800000, FPS 920, mean/median reward 508.1/589.2, min/max reward 63.6/631.0, entropy 7.49, value loss 1.52, policy loss -0.024
Updates 46, num timesteps 1840000, FPS 921, mean/median reward 519.7/593.8, min/max reward 63.6/631.0, entropy 7.42, value loss 1.48, policy loss -0.025
Updates 47, num timesteps 1880000, FPS 921, mean/median reward 552.6/602.3, min/max reward 63.6/632.6, entropy 7.35, value loss 1.39, policy loss -0.023
