iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,3990,10.124986528738951,0.5989880022330162,-0.018385415990931693,11.147185632000001,9.982423,3.269795,34.205006
2,80000,3879,10.062696750347431,1.013181337637779,-0.028418861580911864,13.563003063999998,12.20096,4.179547,49.301345
3,120000,3838,9.99930301568447,1.5610570236658439,-0.03170331381753875,17.14934328,15.475053,2.394191,46.571237
4,160000,3723,9.93442246852777,1.8558545329631904,-0.03140021857023105,22.788458119999998,21.309035,5.283681,55.869454
5,200000,3587,9.872443299415783,1.978254930789654,-0.02725308979916941,28.635985184,27.841681,8.80328,80.596843
6,240000,3484,9.80976002522004,1.896021249355414,-0.027290400296181197,32.969872687999995,30.288339,8.528032,85.933951
7,280000,3414,9.737533953250983,1.777739815834241,-0.024093426893066348,36.49272496799999,34.516874,8.647738,91.808878
8,320000,3390,9.66454583192483,1.8655618580488058,-0.02742728803919491,41.424505240000016,38.706623,11.525363,94.940708
9,360000,3358,9.580877529046475,1.8101943043562083,-0.02802435007410494,43.135099047999994,39.197716,20.065515,126.763059
10,400000,3342,9.503854604867788,1.8711691212959778,-0.027593871502237258,45.575766423999994,40.85499,19.465934,124.300425
11,440000,3332,9.434795316060384,1.817803776722688,-0.026900942267429156,48.477094208,43.643894,21.159742,164.806973
12,480000,3323,9.36725742633526,2.2351901488426402,-0.02726423564999072,54.006921608,47.935404,3.62018,137.837003
13,520000,3317,9.302078538063245,2.3814891969546292,-0.030062665858265693,58.205115991999996,48.280803,11.127997,204.716026
14,560000,3308,9.241558263240716,2.3807078917821247,-0.02993834827547499,63.419181384000005,51.221033,19.967763,207.719799
15,600000,3300,9.18489043896015,2.5336046946354402,-0.0324495605188601,80.72302537600001,61.207598,23.070014,269.857201
16,640000,3309,9.128632826682848,2.1470434876588675,-0.029780901853332462,89.57562171200001,67.670832,21.82932,411.795618
17,680000,3308,9.074831419724685,2.1782514514067235,-0.02811894988620994,129.379071648,100.766655,26.358685,421.807269
18,720000,3305,9.008236229725373,1.5335676118349417,-0.026066060490941314,173.75816988,131.815863,15.724645,424.621639
19,760000,3304,8.951633267524915,1.2166001695853013,-0.027421761797524643,218.86831259199994,183.53154,15.724645,456.586048
20,800000,3304,8.893849685864572,1.1574704724244582,-0.025883793378941332,263.684893568,283.804403,28.780398,456.586048
21,840000,3308,8.817364814953926,1.3497929469897196,-0.025855376159541685,294.2368404719999,388.302224,28.780398,455.179633
22,880000,3309,8.741149068490053,1.1134428820548914,-0.02582467945002673,311.23566735199995,410.114055,31.735851,465.042764
23,920000,3306,8.672293259547306,1.3438456751597234,-0.02434794038917738,336.0962137520001,428.885188,31.735851,482.974731
24,960000,3303,8.605144664568778,0.764402239674177,-0.01655031250027092,375.00487733600005,446.433523,31.735851,500.534374
25,1000000,3299,8.530448150634765,0.9161175874563364,-0.024013945403641674,401.77547843199994,459.599516,38.385932,500.534374
26,1040000,3297,8.456519278501853,1.1062091237459428,-0.02260470466183809,423.06578550399996,474.537367,41.300277,519.542318
27,1080000,3294,8.371272982083834,1.0159525045981774,-0.02380200575209575,417.90136572,488.374184,40.511105,523.617062
28,1120000,3288,8.28760112860264,0.7934172596686926,-0.01948757440953229,428.86663649600007,496.328035,40.288371,535.875241
29,1160000,3288,8.199158685635298,0.8603107204039891,-0.01981579743253697,457.49626933599995,511.952739,40.288371,548.162965
30,1200000,3289,8.113623870947421,0.7959654746911464,-0.025010301088546745,472.90281609600004,525.288505,50.847674,566.054507
31,1240000,3290,8.022339396599012,0.7283031653135251,-0.023015088057227562,482.188458592,531.290528,30.115971,575.974489
32,1280000,3289,7.93202705016503,0.6212481847940348,-0.010370463625011511,495.68750193600005,545.252062,30.115971,576.414331
33,1320000,3288,7.819371877572475,0.7981366716898405,-0.02362579762344607,522.4362942079999,557.445023,32.748294,590.241697
34,1360000,3285,7.71954836600866,0.7403120629680462,-0.017863401234129783,526.62948508,562.720561,42.16268,593.210883
35,1400000,3282,7.62734755613865,0.8028987639989609,-0.01675755929443254,533.887960664,575.186236,42.16268,612.869867
36,1440000,3279,7.5283273562406885,0.638101876890048,-0.019623521731372398,554.889000296,584.737198,51.481619,613.525091
37,1480000,3279,7.440932415693235,0.730154620225613,-0.0186019731674512,577.8857270159999,591.529829,41.476124,619.802492
38,1520000,3277,7.330526221104157,0.5627086718495076,-0.015492670591928076,592.744946064,600.185934,41.476124,628.124427
39,1560000,3274,7.235715500513712,0.5251462942896745,-0.013574558323885775,595.5280559120002,610.166257,41.476124,640.619994
40,1600000,3271,7.12933986492646,0.49303076683710784,-0.014594109884003559,603.1773837119999,618.558722,125.851061,644.601668
41,1640000,3270,7.039125820306631,0.588780795228787,-0.02440971546150253,610.46031988,625.604211,125.851061,647.274169
42,1680000,3268,6.89975396669828,0.36431345431468426,0.00023173071497764724,624.846513608,636.106216,125.851061,657.642385
43,1720000,3265,6.8154495214804625,0.4881711416901686,-0.016800200165804805,634.563630256,642.725447,70.016907,673.676949
44,1760000,3262,6.69287596482497,0.37255469663785057,-0.016278047871310264,644.3238398079999,650.261545,70.016907,673.676949
45,1800000,3262,6.596654460369012,0.3659684711541885,-0.02067527642469101,647.615795656,658.390843,70.016907,687.699787
46,1840000,3259,6.507556097324078,0.38320456720315493,-0.019200994715934845,649.9581610959999,666.636439,60.440966,689.710876
47,1880000,3256,6.396016496267074,0.39960427299523965,-8.569419388107071e-05,659.018450056,674.193511,60.440966,698.430746
48,1920000,3255,6.290396229426066,0.4144747431461628,-0.014952091357479684,666.021651216,679.060554,60.440966,706.908197
49,1960000,3252,6.174369676296528,0.401395241686931,-0.011196338547793297,682.1716051999999,689.201474,382.396367,719.835966
50,2000000,3248,6.070243200889,0.4216069982984127,-0.015133679716736645,688.5495785439999,697.280957,382.396367,720.248554
51,2040000,3246,5.9622743496528035,0.2918635313136455,-0.016730371760711887,696.5212938,703.039232,302.473806,723.984916
52,2080000,3246,5.878553818433713,0.43559153893819225,-0.00634062898082984,697.363382192,708.760128,59.034636,729.955685
53,2120000,3246,5.791154900575296,0.29572899643427286,-0.018114881020637068,689.6669058800001,712.757047,57.098904,734.733213
54,2160000,3245,5.686850729966775,0.21788735735492828,-0.007969633096323984,698.317307016,719.17028,57.098904,738.342146
55,2200000,3245,5.6040912224696235,0.31687711043617667,-0.00868758474898641,694.0781722479998,725.652732,57.098904,747.082316
56,2240000,3247,5.5110625853905315,0.5236575914308047,-0.014877155044889198,709.75547248,728.476834,60.408967,747.082316
57,2280000,3248,5.405839215792143,0.2545713963416906,-0.019169873813342956,714.585295656,733.705826,60.408967,760.032966
58,2320000,3251,5.302864798521385,0.23514942542100564,-0.007296209295731014,722.536892072,737.920877,60.408967,760.032966
59,2360000,3251,5.2062560961796684,0.24146140639980634,-0.012197497238902053,743.3394421600001,743.304938,716.010243,762.012204
60,2400000,3247,5.1087921888400345,0.18588442863562168,-0.011256552776448632,748.6292779279999,748.637197,729.269997,767.308983
61,2440000,3244,5.041492338669606,0.35231282413005827,-0.01782260001943005,752.561144872,752.23447,729.269997,771.156263
62,2480000,3242,4.9568107519394315,0.25138195575429845,-0.016229086586360773,749.308129384,757.477557,166.67976,773.740799
63,2520000,3241,4.8551127054752445,0.17388674941582558,-0.008374833981957718,753.0392691519999,761.330131,166.67976,777.065525
64,2560000,3240,4.7637429286272095,0.1567073282905114,-0.011528007582782242,757.448693792,765.805998,166.67976,782.264436
65,2600000,3239,4.658689582042205,0.15419447523279067,-0.010378320209714824,769.4333047200001,770.266656,742.945448,789.71101
66,2640000,3234,4.589012627723889,0.19827293002834687,0.0022580221161777633,768.2458193680001,774.194505,87.513859,789.71101
67,2680000,3229,4.49417132842235,0.1737656892874302,-0.02172533246671381,770.975615688,776.461926,87.513859,790.089774
68,2720000,3225,4.419260803858439,0.18401205342931626,-0.012240965157532348,769.4169782160002,780.028954,79.644791,798.463089
69,2760000,3222,4.305365731165959,0.1352182336533681,-0.01700856126289858,778.782324264,785.232529,79.644791,798.463089
70,2800000,3219,4.213812842735877,0.1353170293645981,-0.01679951302440037,782.871857544,788.919025,79.644791,803.73085
71,2840000,3218,4.12966290742923,0.17119168618168587,-0.0194613758325338,792.917498992,793.258322,776.605689,806.929179
72,2880000,3217,4.027470154028673,0.11256275035631963,-0.00834016831339772,797.5038013759998,798.108518,780.011468,809.868632
73,2920000,3216,3.945277959261185,0.14034739742294336,-0.009844420558287171,800.969749136,800.984071,780.011468,813.132492
74,2960000,3215,3.8467472320947893,0.10841709008583655,-0.005404131840959263,805.480726296,806.007142,792.552607,819.336967
75,3000000,3216,3.759131807547349,0.10174304927006746,-0.012224326480431138,808.3339533919998,809.061799,796.696516,819.751624
76,3040000,3215,3.701166958686633,0.1545489685657697,-0.018635918454980617,811.7303928639999,811.497887,797.912331,824.652486
77,3080000,3215,3.6080488694019808,0.10096592699679044,-0.014031524856601698,815.97041196,815.948283,802.672613,828.190401
78,3120000,3214,3.533171072984353,0.12271439862939028,-0.01040516410852993,818.747530544,818.461523,806.537333,828.881009
79,3160000,3214,3.4651676673155563,0.11644306578315221,-0.009426142647507964,822.1682536639998,822.65314,809.425312,835.37849
