iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,40000,3982,10.12986768820347,0.646144957267321,-0.017797541697673763,10.631806735999998,9.645408,3.254057,40.672678
2,80000,3915,10.0752869337033,1.141947546830544,-0.029158522934355856,13.883578687999998,11.960955,3.144198,42.297822
3,120000,3859,10.015451846978603,1.7176115907155551,-0.02951942183060918,19.079404144,17.551208,2.347769,56.444681
4,160000,3720,9.959462650005634,2.0580847960252027,-0.025607092804010533,24.2178892,22.381622,4.755425,65.529226
5,200000,3557,9.890650624495287,2.0188942631085713,-0.02786391261672692,26.587212928000003,24.238582,2.0823,66.200506
6,240000,3412,9.824473926348563,2.119430871346058,-0.02201179214700973,31.650976984000003,28.515065,7.298012,68.648893
7,280000,3368,9.752096171256824,2.0954855176118703,-0.026876190034612918,32.788721464000005,31.102875,9.685879,77.917252
8,320000,3323,9.682164199535663,2.0230809868910375,-0.02981570598248464,40.92632656,38.619016,11.14561,111.982506
9,360000,3308,9.597999183948223,2.0115105696213553,-0.027642745807922135,40.56748084,35.479995,13.590602,149.069228
10,400000,3297,9.517444317157452,1.9840826630592345,-0.026737431522372228,46.966880592,43.122083,16.730498,119.818663
11,440000,3290,9.44769766391852,2.032755868251507,-0.026465602964652554,50.788920504000004,44.390499,19.278487,153.725209
12,480000,3287,9.385325842637283,2.26836080016234,-0.02889386053235891,57.593046472000005,48.189717,22.044457,185.072863
13,520000,3278,9.31374113376324,2.3737136382323043,-0.030481335674882686,56.201276328,49.242697,17.703314,165.961945
14,560000,3273,9.256470462603447,2.406124218610617,-0.032990332830743284,67.52466938399999,58.001321,22.239258,205.621093
15,600000,3272,9.204137582045336,2.4938444895622056,-0.025918306487018036,70.71264344,60.594087,19.29616,209.053789
16,640000,3263,9.15299405807104,2.603385173051785,-0.030111586275467207,93.02613715999999,74.298563,28.188147,326.765361
17,680000,3250,9.097603382208408,2.6978951710921066,-0.031818440232354285,92.621221808,74.174938,17.7515,434.435163
18,720000,3242,9.044486904144287,2.6283809580864053,-0.031606876304935076,120.04192117599999,101.541295,25.352399,407.984171
19,760000,3235,8.99646341372759,2.6506715069978664,-0.03233681985990561,130.593276272,104.682074,31.416376,373.05754
20,800000,3229,8.952136394305107,2.552621606680063,-0.03117469985609671,159.61692168,122.156244,29.067745,469.78412
21,840000,3228,8.891488336905455,2.145867952933678,-0.02826807707822762,219.95134746399998,183.932561,29.067745,469.78412
22,880000,3231,8.832041329603928,2.0501541663438845,-0.02881378547481757,255.54770920800004,231.082068,14.723331,487.402628
23,920000,3233,8.772845603258181,1.4697601675987244,-0.02437359247631274,272.275656752,260.973616,14.723331,488.436638
24,960000,3235,8.69077057471642,1.501747158398995,-0.027697056884014085,324.18242148,370.050441,31.607794,516.555669
25,1000000,3230,8.612831174410307,1.449222396275936,-0.02426115861836502,362.193741208,460.060501,35.416418,516.652051
26,1040000,3226,8.530676117921487,1.2897338663156217,-0.024288128355562013,372.3357752079999,473.299139,33.517563,521.431932
27,1080000,3227,8.454539066705948,1.5384811998177796,-0.023087948437872305,401.80700607200004,486.66493,33.517563,542.10301
28,1120000,3224,8.375047023479755,1.0946590025455525,-0.025370986606489728,429.215328024,501.034702,33.517563,550.281597
29,1160000,3228,8.288857467357928,1.0491470628441908,-0.02341658156868876,474.5272750959999,520.575011,48.446657,573.245803
30,1200000,3224,8.185525449117025,0.8713825989992191,-0.02119949254928286,488.637614456,528.156258,45.825177,573.245803
31,1240000,3222,8.082112412574963,1.025993095529385,-0.026606944458333788,506.771233984,542.668254,39.822607,586.072049
