WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
==============SETTINGS================
{'device': 'cuda:0',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_29__06_55_53__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_29__06_55_53__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_29__06_55_53__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/yuni/venv/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
pybullet build time: Nov 26 2020 23:09:05
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
argv[0]=--background_color_red=1.0
argv[1]=--background_color_green=1.0
argv[2]=--background_color_blue=1.0
argv[3]=--width=1280
argv[4]=--height=720
argv[5]=
Updates 1, num timesteps 40000, FPS 4041, mean/median reward 10.5/8.9, min/max reward 3.6/35.0, entropy 10.14, value loss 0.62, policy loss -0.020
Updates 2, num timesteps 80000, FPS 3910, mean/median reward 13.0/12.0, min/max reward 3.3/39.2, entropy 10.08, value loss 1.04, policy loss -0.031
Updates 3, num timesteps 120000, FPS 3914, mean/median reward 15.7/14.3, min/max reward 3.7/39.0, entropy 10.01, value loss 1.56, policy loss -0.027
Updates 4, num timesteps 160000, FPS 3849, mean/median reward 21.4/21.3, min/max reward 2.8/54.8, entropy 9.94, value loss 1.96, policy loss -0.031
Updates 5, num timesteps 200000, FPS 3734, mean/median reward 26.7/25.4, min/max reward 7.1/58.5, entropy 9.88, value loss 1.85, policy loss -0.026
Updates 6, num timesteps 240000, FPS 3653, mean/median reward 28.9/27.6, min/max reward 6.8/84.4, entropy 9.82, value loss 1.83, policy loss -0.026
Updates 7, num timesteps 280000, FPS 3593, mean/median reward 34.3/31.7, min/max reward 7.9/106.8, entropy 9.75, value loss 1.96, policy loss -0.031
Updates 8, num timesteps 320000, FPS 3564, mean/median reward 37.5/35.1, min/max reward 15.2/122.5, entropy 9.68, value loss 1.89, policy loss -0.030
Updates 9, num timesteps 360000, FPS 3524, mean/median reward 44.9/41.9, min/max reward 16.6/109.2, entropy 9.60, value loss 1.93, policy loss -0.029
Updates 10, num timesteps 400000, FPS 3515, mean/median reward 44.4/41.2, min/max reward 6.9/121.4, entropy 9.54, value loss 1.99, policy loss -0.029
Updates 11, num timesteps 440000, FPS 3489, mean/median reward 47.6/42.9, min/max reward 22.8/115.0, entropy 9.47, value loss 1.90, policy loss -0.028
Updates 12, num timesteps 480000, FPS 3464, mean/median reward 54.7/45.0, min/max reward 23.8/184.5, entropy 9.40, value loss 1.95, policy loss -0.028
Updates 13, num timesteps 520000, FPS 3454, mean/median reward 55.8/50.2, min/max reward 19.5/166.8, entropy 9.34, value loss 2.02, policy loss -0.028
